Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.68,-0.32,-0.61,-0.63,-0.36,-0.68,-0.12,0.27
E000V00002,-18.197,-69.554,-0.45,-0.21,-1.07,-1.17,-0.81,-1.76,-0.90,0.43
E000180005,-18.356,-70.340,-0.32,-0.49,-0.96,-0.89,-0.92,-0.62,0.29,1.82
E000V00001,-19.011,-69.857,-0.07,-0.50,-1.29,-1.42,-1.41,-2.01,-1.35,-1.16
E000V00006,-19.276,-68.638,-0.44,-0.05,-0.89,-1.03,-0.91,-1.64,-0.62,0.05
E000V00005,-19.313,-69.427,-0.26,-0.27,-0.98,-1.10,-1.03,-1.60,-0.83,-0.58
E000V00007,-19.996,-69.767,-0.06,-0.70,-1.34,-1.41,-1.40,-1.69,-1.17,-1.11
E000V00004,-20.250,-70.117,-0.24,-0.90,-1.49,-1.57,-1.54,-1.78,-1.34,-1.35
E000V00008,-20.501,-69.342,0.09,-0.87,-1.55,-1.64,-1.60,-1.82,-1.24,-1.25
E000200006,-20.549,-70.181,-0.46,-0.58,-0.82,-0.68,-0.65,-0.04,1.25,2.33
E000V00011,-21.224,-68.255,-1.05,-0.13,-0.29,-0.12,0.17,0.38,0.53,0.65
E000V00013,-22.091,-70.200,-0.14,-0.40,-1.38,-1.46,-1.10,-1.35,0.05,0.37
E000V00014,-22.350,-69.666,-0.23,-0.29,-1.21,-1.20,-0.84,-0.99,-0.03,0.60
E000220002,-22.498,-68.892,-1.28,0.22,0.28,0.51,0.36,0.18,-0.65,-0.91
E000V00009,-22.892,-69.320,-0.48,-0.17,-0.47,-0.03,0.17,0.33,1.22,1.26
E000V00012,-22.932,-68.213,-1.01,-0.41,-0.16,-0.05,-0.13,-0.12,-0.30,-0.44
E000230001,-23.454,-70.445,-0.41,-0.61,-1.21,-1.37,-1.34,-0.82,0.07,0.45
E000V00166,-23.600,-67.440,-1.36,-0.39,-0.13,-0.22,-0.37,-0.35,-0.56,-0.59
E000V00165,-23.940,-68.570,-0.85,-0.45,-0.18,-0.17,-0.18,-0.10,-0.47,-0.64
E000V00164,-24.510,-69.690,-0.95,-0.47,-0.16,-0.07,-0.13,-0.13,-0.52,-0.67
E000V00167,-25.000,-69.300,-0.98,-0.50,-0.19,-0.12,-0.18,-0.15,-0.54,-0.68
E000V00010,-25.411,-70.484,-1.09,-0.40,-0.05,0.12,0.05,-0.07,-0.49,-0.56
E000V00168,-25.700,-69.270,-0.66,-0.26,-0.02,0.16,0.21,0.14,-0.31,-0.41
E000V00169,-26.250,-68.990,-0.85,-0.01,0.24,0.78,1.20,1.85,0.11,1.19
E000V00016,-26.332,-70.611,-0.79,-0.17,0.18,0.35,0.70,0.87,0.10,0.09
E000V00017,-26.391,-70.046,-0.43,-0.08,0.12,0.25,0.50,1.14,0.35,0.32
E000V00170,-27.070,-69.330,-0.81,-0.05,0.38,1.04,1.23,2.33,-0.13,2.33
E000270008,-27.254,-70.781,-0.14,-0.05,0.40,0.49,0.64,0.77,2.33,2.33
E000270009,-27.359,-70.353,-0.30,0.07,0.37,0.67,0.78,1.47,0.80,0.26
E000V00171,-27.980,-69.810,-0.69,-0.12,0.43,1.09,2.73,2.33,0.58,2.33
E000V00019,-28.463,-71.225,-0.53,-0.18,0.38,0.69,1.17,2.33,0.85,1.08
E000V00018,-28.768,-70.449,-0.64,-0.00,0.47,0.96,2.25,2.33,0.98,2.12
E000V00015,-28.976,-70.000,-0.77,0.02,0.47,1.12,2.27,2.33,0.57,2.33
E000V00021,-29.372,-71.116,-0.50,-0.03,0.46,0.73,1.70,2.33,2.33,2.33
E000290004,-29.914,-71.207,0.04,0.05,-0.15,0.05,0.33,0.90,2.33,2.33
E000V00022,-30.031,-70.721,-0.51,-0.03,0.39,0.71,0.63,1.12,-0.23,0.09
E000V00020,-30.234,-71.082,-0.50,-0.08,0.41,0.80,0.86,1.68,-0.04,0.28
E000V00172,-30.380,-71.720,-0.42,-0.07,0.43,0.79,1.04,2.33,0.27,0.53
E000V00027,-30.746,-70.937,-0.56,-0.09,0.31,0.57,0.42,0.70,-0.36,-0.05
E000V00028,-30.838,-71.256,-0.49,-0.08,0.33,0.66,0.61,0.96,-0.20,0.10
E000V00026,-31.188,-70.999,-0.55,-0.11,0.25,0.50,0.36,0.57,-0.35,-0.05
E000V00024,-31.390,-71.413,-0.51,-0.13,0.27,0.55,0.44,0.72,-0.28,-0.02
E000V00023,-31.633,-71.152,-0.49,-0.14,0.23,0.50,0.37,0.62,-0.34,-0.06
E000V00025,-31.783,-70.970,-0.54,-0.14,0.21,0.47,0.32,0.50,-0.41,-0.13
E000320019,-32.076,-70.707,-1.23,-0.23,0.23,0.94,1.36,2.33,2.33,1.11
E000V00035,-32.251,-70.926,-0.52,-0.11,0.22,0.46,0.31,0.52,-0.40,-0.12
E000V00174,-32.343,-70.464,-0.60,-0.14,0.20,0.41,0.22,0.41,-0.47,-0.16
E000V00033,-32.362,-70.819,-0.52,-0.11,0.22,0.46,0.31,0.52,-0.40,-0.12
E000V00034,-32.505,-71.441,-0.48,-0.15,0.23,0.52,0.43,0.66,-0.30,-0.03
E000V00175,-32.540,-71.014,-0.48,-0.15,0.23,0.52,0.43,0.66,-0.30,-0.03
E000V00041,-32.594,-70.725,-0.51,-0.10,0.23,0.48,0.34,0.54,-0.37,-0.12
E000V00176,-32.618,-70.368,-0.57,-0.08,0.23,0.44,0.29,0.50,-0.43,-0.10
E000V00040,-32.757,-70.809,-0.51,-0.10,0.23,0.48,0.34,0.54,-0.37,-0.12
E000V00031,-32.789,-71.526,-0.49,-0.19,0.24,0.57,0.51,0.77,-0.20,0.04
E000V00037,-32.790,-71.173,-0.48,-0.15,0.23,0.52,0.43,0.66,-0.30,-0.03
E000320028,-32.828,-71.227,-0.24,-0.12,0.94,0.36,2.33,1.21,-1.29,-0.39
E000V00032,-32.890,-70.382,-0.57,-0.08,0.23,0.44,0.29,0.50,-0.43,-0.10
E000V00036,-32.893,-71.207,-0.48,-0.15,0.23,0.52,0.43,0.66,-0.30,-0.03
E000V00030,-32.917,-71.517,-0.49,-0.19,0.24,0.57,0.51,0.77,-0.20,0.04
E000V00042,-32.994,-71.261,-0.48,-0.15,0.23,0.52,0.43,0.66,-0.30,-0.03
E000330002,-33.023,-71.648,-0.47,-0.25,-0.25,0.31,0.70,2.33,2.33,2.33
E000330007,-33.065,-71.556,-0.67,-0.22,0.19,0.21,0.53,0.58,2.33,2.33
E000V00029,-33.083,-71.400,-0.50,-0.12,0.26,0.55,0.48,0.74,-0.27,-0.04
E000V00051,-33.121,-70.834,-0.52,-0.12,0.24,0.49,0.36,0.62,-0.37,-0.11
E000V00050,-33.147,-70.660,-0.52,-0.12,0.24,0.49,0.36,0.62,-0.37,-0.11
E000V00177,-33.230,-71.460,-0.50,-0.12,0.26,0.55,0.48,0.74,-0.27,-0.04
