Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-1.29,-0.88,-0.36,-0.16,-0.13,0.05,-0.14,0.15
E000V00002,-18.197,-69.554,-1.35,-0.82,-0.21,0.11,0.29,0.05,-0.99,-0.34
E000180005,-18.356,-70.340,-0.97,-1.10,-0.47,0.08,0.17,-0.16,-0.03,0.91
E000V00001,-19.011,-69.857,-0.98,-0.62,-0.33,-0.10,0.04,-0.76,-1.47,-1.11
E000V00006,-19.276,-68.638,-1.17,-0.71,-0.23,0.27,0.73,-0.02,-1.04,-0.28
E000V00005,-19.313,-69.427,-1.11,-0.76,-0.34,0.05,0.34,-0.27,-0.99,-0.51
E000V00007,-19.996,-69.767,-0.85,-0.63,-0.48,-0.37,-0.34,-0.95,-1.29,-1.04
E000V00004,-20.250,-70.117,-0.73,-0.62,-0.56,-0.56,-0.58,-1.22,-1.44,-1.24
E000V00008,-20.501,-69.342,-0.57,-0.41,-0.34,-0.46,-0.53,-1.34,-1.57,-1.22
E000200006,-20.549,-70.181,-0.76,-1.36,-0.81,-0.02,0.25,0.35,0.95,2.33
E000V00011,-21.224,-68.255,-0.66,-0.92,-0.49,0.21,0.24,0.35,0.51,0.63
E000V00013,-22.091,-70.200,-0.61,-0.41,0.38,0.32,0.19,-1.03,-1.04,0.04
E000V00014,-22.350,-69.666,-0.62,-0.39,0.54,0.52,0.43,-0.68,-0.59,0.15
E000220002,-22.498,-68.892,-1.71,-1.32,-0.52,0.42,0.45,0.68,0.56,-0.37
E000V00009,-22.892,-69.320,-1.11,-1.05,-0.04,0.64,0.49,0.68,0.93,1.54
E000V00012,-22.932,-68.213,-1.24,-1.23,-0.66,-0.18,-0.23,-0.10,-0.12,-0.28
E000230001,-23.454,-70.445,-0.26,-0.72,-0.16,0.48,0.46,-0.39,-0.25,0.54
E000V00166,-23.600,-67.440,-1.25,-1.69,-1.26,-0.57,-0.51,-0.37,-0.42,-0.60
E000V00165,-23.940,-68.570,-1.57,-1.79,-1.13,-0.69,-0.60,-0.30,-0.25,-0.57
E000V00164,-24.510,-69.690,-1.37,-1.77,-1.22,-0.87,-0.75,-0.33,-0.36,-0.65
E000V00167,-25.000,-69.300,-1.46,-1.77,-1.20,-0.83,-0.73,-0.35,-0.36,-0.65
E000V00010,-25.411,-70.484,-1.06,-1.69,-1.26,-0.90,-0.75,-0.18,-0.34,-0.62
E000V00168,-25.700,-69.270,-1.07,-1.71,-1.33,-0.93,-0.66,-0.00,-0.17,-0.49
E000V00169,-26.250,-68.990,-1.26,-2.00,-1.96,-0.80,-0.35,0.43,0.36,-0.34
E000V00016,-26.332,-70.611,-0.77,-1.53,-1.19,-0.34,-0.26,0.76,0.44,-0.03
E000V00017,-26.391,-70.046,-0.78,-1.59,-1.18,-0.35,-0.09,1.10,0.70,0.16
E000V00170,-27.070,-69.330,-1.33,-1.72,-1.73,-0.89,-0.67,-0.03,0.06,-0.71
E000270008,-27.254,-70.781,-0.04,-0.74,-0.22,0.79,1.64,2.33,2.33,2.33
E000270009,-27.359,-70.353,-0.09,-1.28,-0.69,-0.21,0.16,1.07,0.93,0.45
E000V00171,-27.980,-69.810,-1.14,-1.44,-1.28,-0.43,-0.41,1.10,1.26,-0.00
E000V00019,-28.463,-71.225,-0.92,-1.15,-0.75,0.02,-0.10,2.33,2.14,0.55
E000V00018,-28.768,-70.449,-1.05,-1.48,-1.26,-0.59,-0.49,1.09,1.82,0.28
E000V00015,-28.976,-70.000,-1.20,-1.61,-1.45,-0.73,-0.61,0.49,1.02,-0.11
E000V00021,-29.372,-71.116,-0.94,-1.27,-0.86,-0.10,-0.10,2.33,2.33,1.30
E000290004,-29.914,-71.207,-0.26,-0.50,-0.30,0.37,0.71,2.33,2.33,2.33
E000V00022,-30.031,-70.721,-1.28,-1.85,-1.65,-1.16,-0.99,-0.26,-0.08,-0.62
E000V00020,-30.234,-71.082,-1.11,-1.70,-1.43,-0.94,-0.81,0.09,0.23,-0.38
E000V00172,-30.380,-71.720,-1.06,-1.58,-1.22,-0.65,-0.56,0.59,0.68,-0.07
E000V00027,-30.746,-70.937,-1.29,-1.89,-1.67,-1.23,-1.08,-0.46,-0.25,-0.73
E000V00028,-30.838,-71.256,-1.29,-1.85,-1.54,-1.07,-0.92,-0.20,-0.03,-0.55
E000V00026,-31.188,-70.999,-1.35,-1.92,-1.69,-1.25,-1.10,-0.52,-0.32,-0.76
E000V00024,-31.390,-71.413,-1.23,-1.84,-1.58,-1.15,-1.02,-0.36,-0.18,-0.65
E000V00023,-31.633,-71.152,-1.25,-1.85,-1.57,-1.14,-0.99,-0.38,-0.20,-0.69
E000V00025,-31.783,-70.970,-1.38,-1.92,-1.66,-1.25,-1.11,-0.53,-0.35,-0.81
E000320019,-32.076,-70.707,-0.35,0.17,-1.65,-2.49,-2.90,-0.93,-0.11,1.83
E000V00035,-32.251,-70.926,-1.40,-1.94,-1.69,-1.28,-1.13,-0.56,-0.34,-0.84
E000V00174,-32.343,-70.464,-1.42,-1.97,-1.78,-1.39,-1.25,-0.73,-0.48,-0.96
E000V00033,-32.362,-70.819,-1.40,-1.94,-1.69,-1.28,-1.13,-0.56,-0.34,-0.84
E000V00034,-32.505,-71.441,-1.25,-1.84,-1.60,-1.16,-1.03,-0.42,-0.23,-0.71
E000V00175,-32.540,-71.014,-1.25,-1.84,-1.60,-1.16,-1.03,-0.42,-0.23,-0.71
E000V00041,-32.594,-70.725,-1.35,-1.93,-1.73,-1.34,-1.18,-0.60,-0.38,-0.86
E000V00176,-32.618,-70.368,-1.39,-1.95,-1.78,-1.41,-1.25,-0.71,-0.44,-0.93
E000V00040,-32.757,-70.809,-1.35,-1.93,-1.73,-1.34,-1.18,-0.60,-0.38,-0.86
E000V00031,-32.789,-71.526,-1.23,-1.84,-1.51,-1.07,-0.97,-0.30,-0.13,-0.60
E000V00037,-32.790,-71.173,-1.25,-1.84,-1.60,-1.16,-1.03,-0.42,-0.23,-0.71
E000320028,-32.828,-71.227,-0.64,0.42,-0.92,-1.51,-0.96,2.58,2.33,2.33
E000V00032,-32.890,-70.382,-1.39,-1.95,-1.78,-1.41,-1.25,-0.71,-0.44,-0.93
E000V00036,-32.893,-71.207,-1.25,-1.84,-1.60,-1.16,-1.03,-0.42,-0.23,-0.71
E000V00030,-32.917,-71.517,-1.23,-1.84,-1.51,-1.07,-0.97,-0.30,-0.13,-0.60
E000V00042,-32.994,-71.261,-1.25,-1.84,-1.60,-1.16,-1.03,-0.42,-0.23,-0.71
E000330002,-33.023,-71.648,-0.11,0.13,0.33,1.38,2.33,2.33,2.33,2.33
E000330007,-33.065,-71.556,-0.67,-1.39,-1.23,0.03,1.58,2.33,2.33,2.33
E000V00029,-33.083,-71.400,-1.28,-1.89,-1.66,-1.27,-1.10,-0.43,-0.25,-0.77
E000V00051,-33.121,-70.834,-1.33,-1.87,-1.71,-1.31,-1.17,-0.61,-0.34,-0.84
E000V00050,-33.147,-70.660,-1.33,-1.87,-1.71,-1.31,-1.17,-0.61,-0.34,-0.84
E000V00177,-33.230,-71.460,-1.28,-1.89,-1.66,-1.27,-1.10,-0.43,-0.25,-0.77
E000V00178,-33.287,-71.155,-1.28,-1.89,-1.66,-1.27,-1.10,-0.43,-0.25,-0.77
