Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.75,-0.94,-1.14,-0.68,-0.44,-0.66,-0.08,0.27
E000V00002,-18.197,-69.554,-0.89,-1.33,-1.59,-1.25,-1.00,-1.74,-0.82,0.35
E000180005,-18.356,-70.340,-0.65,-1.11,-1.05,-1.09,-0.80,-0.45,0.44,2.90
E000V00001,-19.011,-69.857,-1.00,-1.41,-1.61,-1.62,-1.53,-1.97,-1.34,-1.30
E000V00006,-19.276,-68.638,-0.75,-1.08,-1.27,-1.20,-1.03,-1.56,-0.61,-0.16
E000V00005,-19.313,-69.427,-0.84,-1.13,-1.33,-1.29,-1.14,-1.55,-0.85,-0.74
E000V00007,-19.996,-69.767,-1.10,-1.44,-1.57,-1.59,-1.52,-1.65,-1.17,-1.19
E000V00004,-20.250,-70.117,-1.27,-1.64,-1.73,-1.74,-1.81,-1.75,-1.35,-1.41
E000V00008,-20.501,-69.342,-1.34,-1.73,-1.78,-1.78,-1.86,-1.76,-1.22,-1.27
E000200006,-20.549,-70.181,-0.74,-0.91,-0.77,-0.72,-0.49,0.20,1.55,2.33
E000V00011,-21.224,-68.255,-0.48,-0.80,-0.46,-0.04,0.10,0.37,0.52,0.63
E000V00013,-22.091,-70.200,-1.12,-1.80,-1.90,-1.57,-1.70,-1.13,0.24,0.45
E000V00014,-22.350,-69.666,-1.08,-1.80,-1.74,-1.39,-1.41,-0.80,0.16,0.68
E000220002,-22.498,-68.892,-0.59,-0.15,0.36,0.29,0.18,0.19,-0.80,-0.97
E000V00009,-22.892,-69.320,-0.89,-1.03,-0.56,-0.10,-0.04,0.46,1.16,1.12
E000V00012,-22.932,-68.213,-0.47,-0.24,-0.06,-0.02,-0.10,-0.15,-0.37,-0.45
E000230001,-23.454,-70.445,-0.68,-1.27,-1.44,-1.50,-1.12,-0.60,0.28,0.54
E000V00166,-23.600,-67.440,-0.59,-0.11,-0.20,-0.27,-0.27,-0.39,-0.62,-0.52
E000V00165,-23.940,-68.570,-0.40,-0.12,-0.11,-0.08,-0.13,-0.14,-0.54,-0.67
E000V00164,-24.510,-69.690,-0.36,-0.12,-0.00,0.03,-0.07,-0.17,-0.58,-0.70
E000V00167,-25.000,-69.300,-0.39,-0.12,-0.04,-0.03,-0.10,-0.19,-0.59,-0.72
E000V00010,-25.411,-70.484,-0.31,-0.10,0.09,0.23,0.15,-0.12,-0.51,-0.56
E000V00168,-25.700,-69.270,-0.31,-0.11,0.11,0.28,0.25,0.06,-0.39,-0.43
E000V00169,-26.250,-68.990,-0.36,-0.22,0.70,2.33,1.41,1.46,-0.05,2.33
E000V00016,-26.332,-70.611,-0.24,-0.23,-0.07,0.45,0.70,0.80,0.13,0.16
E000V00017,-26.391,-70.046,-0.24,-0.21,-0.05,0.14,0.51,1.00,0.28,0.28
E000V00170,-27.070,-69.330,-0.28,-0.19,0.82,2.33,2.11,2.33,0.06,2.33
E000270008,-27.254,-70.781,-0.28,0.24,0.62,0.69,0.62,1.73,2.33,2.33
E000270009,-27.359,-70.353,-0.11,0.22,0.51,0.88,0.83,1.21,0.64,0.15
E000V00171,-27.980,-69.810,-0.23,-0.19,0.54,1.61,2.33,2.33,1.26,2.33
E000V00019,-28.463,-71.225,-0.23,-0.27,0.14,0.36,0.93,2.33,1.28,1.48
E000V00018,-28.768,-70.449,-0.24,-0.21,0.46,1.28,2.33,2.33,1.82,2.33
E000V00015,-28.976,-70.000,-0.27,-0.20,0.67,2.33,2.33,2.33,1.02,2.33
E000V00021,-29.372,-71.116,-0.24,-0.30,0.18,0.54,1.19,2.33,2.33,2.33
E000290004,-29.914,-71.207,-0.69,-0.90,-0.24,-0.07,0.19,1.22,2.33,2.33
E000V00022,-30.031,-70.721,-0.17,0.10,0.68,1.09,0.92,0.99,-0.13,0.22
E000V00020,-30.234,-71.082,-0.16,0.12,0.70,1.31,1.29,1.57,0.07,0.42
E000V00172,-30.380,-71.720,-0.17,0.10,0.62,1.25,1.49,2.33,0.41,0.63
E000V00027,-30.746,-70.937,-0.19,0.08,0.60,0.78,0.60,0.64,-0.29,0.05
E000V00028,-30.838,-71.256,-0.21,0.11,0.65,0.99,0.80,0.81,-0.16,0.16
E000V00026,-31.188,-70.999,-0.25,0.04,0.54,0.64,0.47,0.51,-0.32,-0.00
E000V00024,-31.390,-71.413,-0.24,0.07,0.58,0.76,0.58,0.63,-0.26,0.07
E000V00023,-31.633,-71.152,-0.27,0.04,0.54,0.67,0.48,0.50,-0.31,-0.01
E000V00025,-31.783,-70.970,-0.30,-0.00,0.48,0.57,0.37,0.40,-0.42,-0.05
E000320019,-32.076,-70.707,-0.34,0.21,0.42,0.59,0.03,2.33,2.33,1.41
E000V00035,-32.251,-70.926,-0.29,-0.01,0.48,0.55,0.36,0.42,-0.41,-0.03
E000V00174,-32.343,-70.464,-0.30,-0.03,0.43,0.46,0.25,0.35,-0.48,-0.07
E000V00033,-32.362,-70.819,-0.29,-0.01,0.48,0.55,0.36,0.42,-0.41,-0.03
E000V00034,-32.505,-71.441,-0.32,0.00,0.56,0.68,0.51,0.56,-0.35,0.06
E000V00175,-32.540,-71.014,-0.32,0.00,0.56,0.68,0.51,0.56,-0.35,0.06
E000V00041,-32.594,-70.725,-0.30,-0.02,0.50,0.58,0.39,0.49,-0.42,-0.03
E000V00176,-32.618,-70.368,-0.30,-0.04,0.45,0.51,0.31,0.43,-0.44,-0.01
E000V00040,-32.757,-70.809,-0.30,-0.02,0.50,0.58,0.39,0.49,-0.42,-0.03
E000V00031,-32.789,-71.526,-0.34,0.03,0.57,0.81,0.63,0.65,-0.25,0.07
E000V00037,-32.790,-71.173,-0.32,0.00,0.56,0.68,0.51,0.56,-0.35,0.06
E000320028,-32.828,-71.227,-0.17,0.27,-0.05,0.11,1.68,0.10,-1.19,-0.20
E000V00032,-32.890,-70.382,-0.30,-0.04,0.45,0.51,0.31,0.43,-0.44,-0.01
E000V00036,-32.893,-71.207,-0.32,0.00,0.56,0.68,0.51,0.56,-0.35,0.06
E000V00030,-32.917,-71.517,-0.34,0.03,0.57,0.81,0.63,0.65,-0.25,0.07
E000V00042,-32.994,-71.261,-0.32,0.00,0.56,0.68,0.51,0.56,-0.35,0.06
E000330002,-33.023,-71.648,-0.87,-1.06,0.19,0.67,0.89,2.33,2.33,2.33
E000330007,-33.065,-71.556,-0.33,0.24,0.56,1.12,2.33,2.33,2.33,2.33
E000V00029,-33.083,-71.400,-0.32,0.00,0.56,0.74,0.60,0.64,-0.33,0.05
E000V00051,-33.121,-70.834,-0.31,-0.02,0.53,0.61,0.43,0.52,-0.42,-0.03
E000V00050,-33.147,-70.660,-0.31,-0.02,0.53,0.61,0.43,0.52,-0.42,-0.03
E000V00177,-33.230,-71.460,-0.32,0.00,0.56,0.74,0.60,0.64,-0.33,0.05
E000V00178,-33.287,-71.155,-0.32,0.00,0.56,0.74,0.60,0.64,-0.33,0.05
E000V00046,-33.353,-70.502,-0.31,-0.02,0.53,0.61,0.43,0.52,-0.42,-0.03
E000330021,-33.378,-70.787,-0.42,-0.23,-0.21,-0.39,-0.50,-0.33,-1.06,-1.08
E000V00043,-33.420,-70.733,-0.31,-0.02,0.53,0.61,0.43,0.52,-0.42,-0.03
E000V00055,-33.439,-71.026,-0.32,0.00,0.56,0.74,0.60,0.64,-0.33,0.05
E000V00038,-33.439,-71.624,-0.34,0.02,0.62,0.85,0.66,0.73,-0.24,0.11
E000330020,-33.445,-70.683,-0.26,0.27,0.65,1.17,1.17,2.33,0.89,1.38
E000330019,-33.455,-70.549,-0.64,-0.31,-0.06,-0.18,-0.47,-1.09,-1.95,-1.50
E000V00044,-33.467,-70.700,-0.31,-0.02,0.53,0.61,0.43,0.52,-0.42,-0.03
E000V00047,-33.517,-70.766,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00039,-33.543,-71.596,-0.32,0.04,0.67,0.95,0.78,0.92,-0.21,0.17
E000V00045,-33.545,-70.548,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00058,-33.608,-70.902,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00048,-33.617,-70.567,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000330031,-33.636,-78.833,-0.65,-0.90,-1.20,-1.21,-0.85,-0.85,-0.08,-0.70
E000330030,-33.656,-71.613,-1.26,-1.02,-0.11,-0.02,0.18,1.25,2.33,2.33
E000V00049,-33.676,-70.089,-0.30,-0.04,0.51,0.62,0.43,0.53,-0.49,-0.02
E000V00057,-33.692,-71.101,-0.31,0.01,0.62,0.83,0.66,0.68,-0.33,0.07
E000V00052,-33.707,-70.707,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00053,-33.862,-70.639,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00179,-33.878,-70.220,-0.30,-0.04,0.51,0.62,0.43,0.53,-0.49,-0.02
E000V00056,-33.941,-71.394,-0.31,0.01,0.62,0.83,0.66,0.68,-0.33,0.07
E000V00068,-33.959,-71.825,-0.32,0.04,0.67,0.95,0.78,0.92,-0.21,0.17
E000V00064,-33.983,-70.717,-0.30,-0.01,0.54,0.70,0.55,0.61,-0.41,0.02
E000V00054,-34.029,-70.995,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00059,-34.169,-70.772,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00180,-34.203,-70.402,-0.30,-0.03,0.54,0.70,0.53,0.59,-0.57,-0.08
E000V00061,-34.215,-70.997,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00062,-34.217,-71.300,-0.29,0.02,0.67,0.92,0.78,0.83,-0.36,0.05
E000V00060,-34.261,-70.948,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00066,-34.279,-70.812,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00065,-34.322,-70.834,-0.29,0.00,0.62,0.80,0.64,0.72,-0.48,-0.03
E000V00067,-34.394,-72.019,-0.31,0.09,0.78,1.31,1.21,1.51,-0.09,0.31
E000V00063,-34.411,-70.210,-0.30,-0.03,0.54,0.70,0.53,0.59,-0.57,-0.08
E000V00071,-34.485,-71.463,-0.29,0.02,0.67,0.92,0.78,0.83,-0.36,0.05
E000V00069,-34.645,-71.898,-0.27,0.08,0.81,1.32,1.18,1.44,-0.25,0.21
E000V00072,-34.691,-71.400,-0.27,0.04,0.74,1.06,0.96,1.11,-0.34,0.13
E000V00070,-34.714,-71.630,-0.27,0.08,0.81,1.32,1.18,1.44,-0.25,0.21
E000340044,-34.721,-71.020,-0.20,-0.08,0.25,0.33,1.08,2.33,-0.51,-0.18
E000V00181,-34.781,-70.520,-0.28,0.01,0.66,0.89,0.79,0.96,-0.44,0.06
E000V00086,-34.855,-72.026,-0.26,0.11,0.83,1.54,1.76,2.33,-0.01,0.46
E000V00084,-34.960,-71.125,-0.27,0.04,0.74,1.06,0.96,1.11,-0.34,0.13
E000V00083,-34.968,-71.832,-0.27,0.08,0.81,1.32,1.18,1.44,-0.25,0.21
E000340031,-34.969,-71.217,-0.92,-0.16,0.08,0.08,0.37,-0.20,-0.92,-0.84
E000V00085,-35.000,-70.811,-0.28,0.01,0.66,0.89,0.79,0.96,-0.44,0.06
E000V00076,-35.128,-71.956,-0.24,0.09,0.81,1.62,1.87,2.33,-0.18,0.29
E000V00182,-35.398,-70.830,-0.25,0.03,0.74,1.04,0.98,1.25,-0.47,0.09
E000V00079,-35.419,-71.467,-0.25,0.06,0.78,1.28,1.22,2.14,-0.36,0.17
E000V00078,-35.533,-71.700,-0.23,0.08,0.87,1.78,2.33,2.33,-0.12,0.52
E000V00074,-35.663,-71.454,-0.23,0.06,0.83,1.65,2.27,2.33,-0.24,0.37
E000V00077,-35.672,-72.082,-0.23,0.05,0.62,1.38,2.33,2.33,-0.07,0.53
E000V00080,-35.699,-71.062,-0.23,0.06,0.83,1.65,2.27,2.33,-0.24,0.37
E000V00081,-35.707,-72.511,-0.20,0.15,0.89,1.02,0.95,0.68,-0.66,-0.10
E000V00075,-35.753,-71.631,-0.23,0.08,0.87,1.78,2.33,2.33,-0.12,0.52
E000V00082,-35.836,-72.587,-0.20,0.15,0.89,1.02,0.95,0.68,-0.66,-0.10
E000V00183,-36.060,-71.050,-0.30,-0.05,0.71,1.60,2.33,2.33,-0.02,0.92
E000V00087,-36.133,-72.783,-0.13,0.21,1.11,1.86,2.33,1.23,-0.77,-0.21
E000V00073,-36.257,-71.548,-0.30,-0.11,0.42,1.09,2.33,2.33,0.00,1.18
E000V00091,-36.292,-71.900,-0.30,-0.11,0.42,1.09,2.33,2.33,0.00,1.18
E000V00090,-36.430,-72.640,-0.13,0.21,1.11,1.86,2.33,1.23,-0.77,-0.21
E000V00088,-36.492,-72.699,-0.13,0.21,1.11,1.86,2.33,1.23,-0.77,-0.21
E000V00092,-36.560,-71.549,-0.09,0.16,0.82,1.67,1.14,-0.39,-1.97,-0.69
E000360011,-36.586,-72.037,-0.91,-0.45,0.47,1.04,2.33,2.33,-0.20,0.74
E000V00089,-36.625,-72.603,-0.12,0.24,1.23,2.33,2.33,0.89,-0.84,-0.17
E000V00099,-36.672,-72.965,-0.12,0.24,1.23,2.33,2.33,0.89,-0.84,-0.17
E000V00096,-36.697,-72.704,-0.12,0.24,1.23,2.33,2.33,0.89,-0.84,-0.17
E000V00098,-36.733,-72.983,-0.12,0.24,1.23,2.33,2.33,0.89,-0.84,-0.17
E000360019,-36.781,-73.066,-0.73,-0.32,1.04,1.84,2.33,2.33,2.60,2.33
E000V00184,-36.880,-71.500,-0.80,-0.55,0.09,0.89,2.33,2.33,-0.74,0.75
E000V00093,-36.977,-72.099,-0.11,0.17,1.20,1.33,1.00,-0.12,-1.69,-0.40
E000V00095,-37.005,-73.140,-0.34,-0.16,0.65,2.33,2.33,2.33,0.73,2.33
E000V00106,-37.035,-72.403,-0.28,0.04,1.01,2.09,1.80,0.40,-0.67,0.18
E000V00097,-37.092,-73.155,-0.34,-0.16,0.65,2.33,2.33,2.33,0.73,2.33
E000V00105,-37.111,-71.245,-0.32,-0.07,0.87,1.28,0.87,-0.04,-1.31,-0.40
E000V00094,-37.141,-72.012,-0.28,0.04,1.01,2.09,1.80,0.40,-0.67,0.18
E000V00108,-37.167,-72.946,-0.32,-0.07,0.78,1.62,2.33,1.46,-0.16,0.77
E000V00107,-37.213,-72.328,-0.28,0.04,1.01,2.09,1.80,0.40,-0.67,0.18
E000V00111,-37.293,-71.949,-0.27,-0.03,0.94,1.44,1.08,0.11,-1.13,-0.15
E000V00100,-37.305,-73.437,-0.34,-0.16,0.65,2.33,2.33,2.33,0.73,2.33
E000V00185,-37.323,-71.566,-0.27,-0.03,0.94,1.44,1.08,0.11,-1.13,-0.15
E000370033,-37.397,-72.424,-1.27,-1.21,-0.01,0.47,1.16,2.33,0.61,1.51
E000V00186,-37.418,-72.830,-0.32,-0.07,0.78,1.62,2.33,1.46,-0.16,0.77
E000V00103,-37.485,-73.330,-0.34,-0.16,0.65,2.33,2.33,2.33,0.73,2.33
E000V00110,-37.536,-71.875,-0.54,-0.31,0.80,1.92,1.71,0.51,-0.39,1.10
E000V00104,-37.627,-73.462,-0.49,-0.38,0.95,2.33,2.33,1.09,0.11,2.33
E000V00109,-37.685,-72.007,-0.58,-0.40,0.73,2.48,2.33,0.90,-0.05,1.73
E000V00116,-37.726,-72.605,-0.54,-0.39,0.86,2.33,2.33,1.32,0.24,2.33
E000V00101,-37.892,-73.412,-0.49,-0.38,0.95,2.33,2.33,1.09,0.11,2.33
E000V00102,-37.950,-73.097,-0.49,-0.38,0.95,2.33,2.33,1.09,0.11,2.33
E000V00112,-38.057,-71.435,-0.71,-0.50,0.83,1.45,1.08,0.15,-0.39,0.97
E000V00114,-38.146,-72.298,-0.71,-0.47,0.97,1.41,1.03,0.13,-0.27,1.60
E000V00117,-38.228,-72.273,-0.71,-0.47,0.97,1.41,1.03,0.13,-0.27,1.60
E000V00113,-38.250,-71.233,-0.71,-0.50,0.83,1.45,1.08,0.15,-0.39,0.97
E000V00188,-38.207,-72.956,-0.61,-0.42,1.11,1.11,0.71,-0.11,-0.52,0.74
E000V00187,-38.414,-71.750,-0.73,-0.52,0.81,1.59,1.25,0.27,-0.24,1.72
E000V00121,-38.435,-72.399,-0.71,-0.47,0.97,1.41,1.03,0.13,-0.27,1.60
E000V00129,-38.446,-72.850,-0.61,-0.42,1.11,1.11,0.71,-0.11,-0.52,0.74
E000V00126,-38.675,-72.224,-0.61,-0.45,1.10,1.01,0.59,-0.35,-0.66,0.69
E000V00115,-38.732,-71.141,-0.80,-0.60,0.92,1.28,0.76,-0.17,-0.50,1.10
E000380013,-38.768,-72.460,-1.22,-1.27,0.74,2.16,2.33,2.33,2.33,2.33
E000V00120,-38.834,-71.683,-0.73,-0.54,0.97,1.20,0.73,-0.20,-0.50,0.97
E000V00128,-39.022,-72.787,-0.48,-0.32,1.10,0.69,0.18,-0.62,-0.72,0.46
E000V00127,-39.007,-72.252,-0.62,-0.37,1.17,0.77,0.23,-0.58,-0.73,0.43
E000V00122,-39.071,-72.922,-0.48,-0.32,1.10,0.69,0.18,-0.62,-0.72,0.46
E000V00118,-39.103,-72.615,-0.48,-0.32,1.10,0.69,0.18,-0.62,-0.72,0.46
E000V00124,-39.165,-73.133,-0.41,-0.25,1.02,0.51,0.07,-0.72,-0.77,0.32
E000V00125,-39.196,-72.261,-0.62,-0.37,1.17,0.77,0.23,-0.58,-0.73,0.43
E000V00119,-39.262,-71.868,-0.65,-0.46,1.14,0.98,0.39,-0.50,-0.71,0.56
E000V00123,-39.289,-71.926,-0.65,-0.46,1.14,0.98,0.39,-0.50,-0.71,0.56
E000V00189,-39.373,-72.550,-0.48,-0.32,1.10,0.69,0.18,-0.62,-0.72,0.46
E000V00190,-39.390,-73.177,-0.41,-0.25,1.02,0.51,0.07,-0.72,-0.77,0.32
E000V00131,-39.632,-72.950,-0.50,-0.35,1.10,0.72,0.22,-0.62,-0.71,0.44
E000390006,-39.657,-73.087,-1.05,-1.56,-0.48,-0.05,0.01,2.33,2.33,1.82
E000V00130,-39.863,-72.501,-0.50,-0.35,1.10,0.72,0.22,-0.62,-0.71,0.44
E000V00191,-39.880,-71.910,-0.58,-0.39,1.13,0.74,0.19,-0.66,-0.79,0.42
E000V00132,-40.096,-72.927,-0.50,-0.31,1.11,0.62,0.14,-0.65,-0.71,0.58
E000V00134,-40.134,-72.415,-0.59,-0.40,1.11,0.70,0.20,-0.65,-0.77,0.41
E000V00193,-40.168,-73.647,-0.40,-0.21,1.03,0.49,0.07,-0.69,-0.75,0.42
E000V00133,-40.317,-73.024,-0.42,-0.24,1.05,0.52,0.06,-0.68,-0.75,0.47
E000V00135,-40.323,-72.979,-0.50,-0.31,1.11,0.62,0.14,-0.65,-0.71,0.58
E000V00139,-40.348,-73.308,-0.42,-0.24,1.05,0.52,0.06,-0.68,-0.75,0.47
E000V00192,-40.520,-72.000,-0.64,-0.40,1.03,0.50,0.03,-0.73,-0.82,0.29
E000400009,-40.614,-73.058,-0.79,-0.99,1.50,2.33,2.33,1.36,2.87,2.33
E000V00194,-40.623,-72.116,-0.55,-0.29,0.98,0.41,-0.04,-0.76,-0.85,0.24
E000V00136,-40.765,-73.152,-0.49,-0.22,0.89,0.33,-0.11,-0.80,-0.83,0.22
E000V00138,-40.861,-73.157,-0.49,-0.22,0.89,0.33,-0.11,-0.80,-0.83,0.22
