Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.53,-0.70,-1.03,-0.79,-0.42,-0.73,-0.14,0.28
E000V00002,-18.197,-69.554,-0.55,-0.97,-1.53,-1.39,-0.91,-1.83,-0.91,0.54
E000180005,-18.356,-70.340,-0.69,-0.90,-1.12,-1.09,-0.90,-0.60,0.33,2.04
E000V00001,-19.011,-69.857,-0.75,-1.22,-1.49,-1.61,-1.47,-2.06,-1.36,-1.18
E000V00006,-19.276,-68.638,-0.58,-0.92,-1.15,-1.28,-0.99,-1.72,-0.68,0.06
E000V00005,-19.313,-69.427,-0.65,-0.94,-1.18,-1.30,-1.09,-1.66,-0.84,-0.57
E000V00007,-19.996,-69.767,-0.91,-1.29,-1.47,-1.58,-1.45,-1.72,-1.18,-1.12
E000V00004,-20.250,-70.117,-1.03,-1.46,-1.64,-1.72,-1.56,-1.80,-1.34,-1.36
E000V00008,-20.501,-69.342,-1.12,-1.67,-1.72,-1.82,-1.61,-1.87,-1.24,-1.24
E000200006,-20.549,-70.181,-0.60,-0.87,-0.88,-0.76,-0.60,0.04,1.39,2.33
E000V00011,-21.224,-68.255,-0.70,-0.56,-0.56,-0.33,0.10,0.33,0.51,0.64
E000V00013,-22.091,-70.200,-0.76,-1.35,-1.83,-1.72,-1.06,-1.39,0.08,0.33
E000V00014,-22.350,-69.666,-0.63,-1.27,-1.70,-1.55,-0.82,-1.03,0.00,0.63
E000220002,-22.498,-68.892,-0.72,-0.78,0.05,0.54,0.27,0.39,-0.62,-0.90
E000V00009,-22.892,-69.320,-0.39,-0.66,-0.78,-0.30,0.25,0.32,1.22,1.21
E000V00012,-22.932,-68.213,-0.47,-0.29,-0.16,0.02,-0.14,-0.09,-0.30,-0.44
E000230001,-23.454,-70.445,-0.72,-1.09,-1.52,-1.55,-1.28,-0.79,0.12,0.51
E000V00166,-23.600,-67.440,-0.57,-0.23,-0.09,-0.01,-0.32,-0.27,-0.53,-0.52
E000V00165,-23.940,-68.570,-0.41,-0.22,-0.12,-0.05,-0.22,-0.09,-0.49,-0.67
E000V00164,-24.510,-69.690,-0.39,-0.19,-0.08,0.03,-0.13,-0.12,-0.54,-0.68
E000V00167,-25.000,-69.300,-0.41,-0.21,-0.10,-0.01,-0.18,-0.14,-0.55,-0.70
E000V00010,-25.411,-70.484,-0.30,-0.09,-0.02,0.20,0.08,-0.03,-0.48,-0.56
E000V00168,-25.700,-69.270,-0.27,-0.09,-0.01,0.21,0.22,0.14,-0.35,-0.43
E000V00169,-26.250,-68.990,-0.38,-0.11,0.27,0.97,1.23,2.33,0.09,2.33
E000V00016,-26.332,-70.611,-0.17,-0.01,-0.06,0.26,0.65,0.90,0.14,0.14
E000V00017,-26.391,-70.046,-0.17,-0.02,-0.03,0.15,0.49,1.12,0.29,0.25
E000V00170,-27.070,-69.330,-0.12,0.08,0.44,1.59,1.38,2.33,-0.15,2.33
E000270008,-27.254,-70.781,-0.19,-0.14,0.52,0.63,0.52,0.96,2.33,2.33
