Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.45,-0.33,-0.39,-0.90,-1.03,-0.10,0.12,0.02
E000V00002,-18.197,-69.554,-0.27,-0.28,-0.71,-1.63,-1.95,-0.45,1.19,2.33
E000180005,-18.356,-70.340,-0.28,-0.22,-0.26,-0.28,-0.08,0.68,1.93,2.33
E000V00001,-19.011,-69.857,-0.19,-0.47,-0.91,-1.53,-1.95,-0.80,-0.60,-1.14
E000V00006,-19.276,-68.638,-0.01,0.01,-0.51,-1.11,-1.39,0.31,2.33,-0.02
E000V00005,-19.313,-69.427,0.01,-0.21,-0.64,-1.16,-1.51,-0.27,0.02,-0.99
E000V00007,-19.996,-69.767,-0.30,-0.76,-1.05,-1.44,-1.66,-0.83,-0.79,-1.19
E000V00004,-20.250,-70.117,-0.53,-1.50,-1.42,-1.69,-1.79,-1.04,-1.08,-1.31
E000V00008,-20.501,-69.342,-0.10,-1.42,-1.34,-1.65,-1.66,-0.74,-0.78,-1.04
E000200006,-20.549,-70.181,-0.28,-0.24,-0.11,0.01,0.22,0.76,0.95,2.15
E000V00011,-21.224,-68.255,-0.54,-0.13,0.04,0.17,0.26,0.40,0.47,0.64
E000V00013,-22.091,-70.200,-0.14,-1.60,-1.35,-1.48,-0.96,1.14,2.33,2.33
E000V00014,-22.350,-69.666,-0.18,-1.19,-1.08,-1.29,-0.72,0.76,2.33,2.33
E000220002,-22.498,-68.892,-1.36,-0.73,-0.05,0.04,-0.18,-1.11,-1.32,-0.99
E000V00009,-22.892,-69.320,-0.78,-0.23,-0.18,-0.15,0.24,0.72,0.43,0.57
E000V00012,-22.932,-68.213,-1.01,-0.40,-0.19,-0.07,-0.21,-0.49,-0.64,-0.59
E000230001,-23.454,-70.445,-0.27,0.01,-0.00,0.09,0.17,1.30,2.33,2.33
E000V00166,-23.600,-67.440,-1.00,-0.38,-0.22,-0.20,-0.37,-0.65,-0.67,-0.66
E000V00165,-23.940,-68.570,-1.15,-0.36,-0.18,-0.07,-0.13,-0.68,-0.85,-0.81
E000V00164,-24.510,-69.690,-0.95,-0.40,-0.19,-0.08,-0.24,-0.78,-0.91,-0.83
E000V00167,-25.000,-69.300,-1.03,-0.38,-0.19,-0.08,-0.22,-0.77,-0.90,-0.83
E000V00010,-25.411,-70.484,-0.70,-0.28,-0.19,-0.14,-0.30,-0.83,-0.82,-0.72
E000V00168,-25.700,-69.270,-0.66,-0.28,-0.21,-0.13,-0.28,-0.83,-0.80,-0.66
E000V00169,-26.250,-68.990,-0.64,-0.07,0.26,0.65,0.53,-0.42,0.63,1.37
E000V00016,-26.332,-70.611,-0.39,-0.23,-0.05,0.25,0.19,-0.57,-0.42,-0.13
E000V00017,-26.391,-70.046,-0.40,-0.21,-0.03,0.26,0.13,-0.60,-0.44,-0.15
E000V00170,-27.070,-69.330,-0.53,-0.12,0.15,1.01,1.48,-0.32,1.53,2.33
E000270008,-27.254,-70.781,-0.58,0.10,0.34,0.15,0.51,2.33,2.33,2.33
E000270009,-27.359,-70.353,-1.58,0.01,0.40,0.74,0.80,0.34,-0.12,-0.18
E000V00171,-27.980,-69.810,-0.43,-0.12,0.17,1.22,2.73,-0.01,1.27,2.33
E000V00019,-28.463,-71.225,-0.33,-0.06,0.13,0.89,1.14,-0.06,0.16,0.74
E000V00018,-28.768,-70.449,-0.31,0.04,0.34,1.11,2.53,0.12,0.61,1.58
E000V00015,-28.976,-70.000,-0.38,0.02,0.33,1.21,2.33,0.15,1.00,2.33
E000V00021,-29.372,-71.116,-0.27,0.04,0.40,0.95,1.63,0.35,0.69,1.42
E000290004,-29.914,-71.207,-0.53,0.27,0.59,0.74,0.79,2.33,2.33,2.33
E000V00022,-30.031,-70.721,-0.41,-0.12,0.10,0.65,0.75,-0.53,-0.13,0.09
E000V00020,-30.234,-71.082,-0.40,-0.08,0.12,0.75,0.94,-0.42,-0.04,0.21
E000V00172,-30.380,-71.720,-0.38,-0.05,0.17,0.81,1.06,-0.27,0.05,0.27
E000V00027,-30.746,-70.937,-0.51,-0.21,-0.03,0.49,0.54,-0.63,-0.20,-0.00
E000V00028,-30.838,-71.256,-0.49,-0.19,0.01,0.57,0.63,-0.56,-0.15,0.05
E000V00026,-31.188,-70.999,-0.55,-0.27,-0.07,0.40,0.43,-0.61,-0.23,-0.05
E000V00024,-31.390,-71.413,-0.56,-0.28,-0.07,0.46,0.48,-0.59,-0.25,-0.02
E000V00023,-31.633,-71.152,-0.59,-0.36,-0.12,0.40,0.39,-0.63,-0.27,-0.10
E000V00025,-31.783,-70.970,-0.66,-0.36,-0.14,0.34,0.32,-0.68,-0.30,-0.09
E000320019,-32.076,-70.707,-0.47,-0.68,0.29,0.69,0.78,0.69,0.37,2.33
E000V00035,-32.251,-70.926,-0.70,-0.35,-0.13,0.36,0.35,-0.64,-0.28,-0.07
E000V00174,-32.343,-70.464,-0.72,-0.39,-0.13,0.31,0.30,-0.67,-0.32,-0.12
E000V00033,-32.362,-70.819,-0.70,-0.35,-0.13,0.36,0.35,-0.64,-0.28,-0.07
E000V00034,-32.505,-71.441,-0.71,-0.39,-0.13,0.42,0.39,-0.63,-0.26,-0.07
E000V00175,-32.540,-71.014,-0.71,-0.39,-0.13,0.42,0.39,-0.63,-0.26,-0.07
E000V00041,-32.594,-70.725,-0.75,-0.38,-0.15,0.34,0.34,-0.65,-0.29,-0.07
E000V00176,-32.618,-70.368,-0.76,-0.36,-0.12,0.33,0.31,-0.66,-0.27,-0.05
E000V00040,-32.757,-70.809,-0.75,-0.38,-0.15,0.34,0.34,-0.65,-0.29,-0.07
E000V00031,-32.789,-71.526,-0.72,-0.41,-0.15,0.45,0.44,-0.59,-0.24,-0.09
E000V00037,-32.790,-71.173,-0.71,-0.39,-0.13,0.42,0.39,-0.63,-0.26,-0.07
E000320028,-32.828,-71.227,-1.02,-2.01,-0.95,-0.39,-0.62,-2.23,-1.11,0.29
E000V00032,-32.890,-70.382,-0.76,-0.36,-0.12,0.33,0.31,-0.66,-0.27,-0.05
E000V00036,-32.893,-71.207,-0.71,-0.39,-0.13,0.42,0.39,-0.63,-0.26,-0.07
E000V00030,-32.917,-71.517,-0.72,-0.41,-0.15,0.45,0.44,-0.59,-0.24,-0.09
E000V00042,-32.994,-71.261,-0.71,-0.39,-0.13,0.42,0.39,-0.63,-0.26,-0.07
E000330002,-33.023,-71.648,-0.33,0.53,1.94,2.33,2.33,1.92,2.33,2.33
E000330007,-33.065,-71.556,-0.05,-0.52,1.32,0.85,1.19,2.33,1.27,2.33
E000V00029,-33.083,-71.400,-0.74,-0.35,-0.11,0.44,0.40,-0.62,-0.31,-0.08
E000V00051,-33.121,-70.834,-0.77,-0.37,-0.10,0.39,0.38,-0.63,-0.29,-0.06
E000V00050,-33.147,-70.660,-0.77,-0.37,-0.10,0.39,0.38,-0.63,-0.29,-0.06
E000V00177,-33.230,-71.460,-0.74,-0.35,-0.11,0.44,0.40,-0.62,-0.31,-0.08
E000V00178,-33.287,-71.155,-0.74,-0.35,-0.11,0.44,0.40,-0.62,-0.31,-0.08
E000V00046,-33.353,-70.502,-0.77,-0.37,-0.10,0.39,0.38,-0.63,-0.29,-0.06
E000330021,-33.378,-70.787,-0.29,-0.69,-0.24,-0.31,-0.33,-1.30,-1.26,-1.09
E000V00043,-33.420,-70.733,-0.77,-0.37,-0.10,0.39,0.38,-0.63,-0.29,-0.06
E000V00055,-33.439,-71.026,-0.74,-0.35,-0.11,0.44,0.40,-0.62,-0.31,-0.08
E000V00038,-33.439,-71.624,-0.78,-0.43,-0.11,0.50,0.45,-0.58,-0.22,-0.07
E000330020,-33.445,-70.683,-0.27,-0.35,0.56,0.93,1.42,0.00,0.39,1.27
E000330019,-33.455,-70.549,-1.05,-0.96,-0.20,-0.14,-1.00,-2.59,-1.79,-1.30
E000V00044,-33.467,-70.700,-0.77,-0.37,-0.10,0.39,0.38,-0.63,-0.29,-0.06
E000V00047,-33.517,-70.766,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000V00039,-33.543,-71.596,-0.74,-0.40,-0.10,0.55,0.55,-0.56,-0.24,-0.03
E000V00045,-33.545,-70.548,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000V00058,-33.608,-70.902,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000V00048,-33.617,-70.567,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000330031,-33.636,-78.833,-0.06,0.22,0.64,0.48,0.24,2.33,0.61,0.26
E000330030,-33.656,-71.613,-0.46,0.45,1.69,2.33,1.69,2.33,2.33,2.33
E000V00049,-33.676,-70.089,-0.80,-0.37,-0.11,0.37,0.37,-0.71,-0.34,-0.08
E000V00057,-33.692,-71.101,-0.77,-0.37,-0.14,0.45,0.46,-0.62,-0.31,-0.07
E000V00052,-33.707,-70.707,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000V00053,-33.862,-70.639,-0.81,-0.38,-0.13,0.40,0.40,-0.68,-0.31,-0.07
E000V00179,-33.878,-70.220,-0.80,-0.37,-0.11,0.37,0.37,-0.71,-0.34,-0.08
