"Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48"
"E000V00003,-69.478,-17.595,0.236126765608788,0.353407919406891,0.548812031745911,0.523209691047668,0.480726659297943,0.573670327663422,1.13949012756348,0.447810113430023"
"E000V00002,-69.554,-18.197,0.0070645185187459,0.011052799411118,0.0172098446637392,0.0159367434680462,0.014795689843595,0.0229783188551664,0.999613702297211,0.01334307808429"
"E000180005,-70.34,-18.356,0.201080963015556,0.31742200255394,0.487788200378418,0.457663208246231,0.423742443323135,0.558260381221771,0.946687936782837,0.386340469121933"
"E000V00001,-69.857,-19.011,0.0173079185187817,0.0323580764234066,0.0483179204165936,0.0432142019271851,0.0408762358129025,0.107549160718918,0.122843720018864,0.0353967249393463"
"E000V00006,-68.638,-19.276,0.0231194011867046,0.036209050565958,0.0594613887369633,0.0509005971252918,0.0480924174189568,1.00022494792938,1.92116296291351,0.0399762056767941"
"E000V00005,-69.427,-19.313,0.0166436024010181,0.0338802747428417,0.0498883537948132,0.0435381792485714,0.0415843203663826,0.963111221790314,0.970287203788757,0.0350741073489189"
"E000V00007,-69.767,-19.996,0.00124071014579386,0.997446060180664,0.998696088790894,0.997890174388885,0.997811079025269,1.99452602863312,0.998774945735931,0.996994316577911"
"E000V00004,-70.117,-20.25,0.0434580817818642,0.14653354883194,0.19011390209198,0.164057523012161,0.160973966121674,0.270066678524017,0.181114926934242,0.133908465504646"
"E000V00008,-69.342,-20.501,0.955394446849823,0.975908100605011,1.93643021583557,0.992497682571411,0.990296244621277,1.01869297027588,1.00521099567413,0.0478744022548199"
"E000200006,-70.181,-20.549,0.160843506455421,0.301801770925522,0.462082386016846,0.385115504264832,0.370553374290466,0.512819468975067,0.429718554019928,0.285909205675125"
"E000V00011,-68.255,-21.224,0.00282040261663496,0.00348036549985409,1.99848628044128,1.00140738487244,1.00119590759277,1.99821519851685,1.00154089927673,1.00019347667694"
"E000V00013,-70.2,-22.091,0.534205615520477,0.771169304847717,1.71032536029816,1.37477946281433,1.32520520687103,1.66518759727478,1.366739153862,0.858376443386078"
"E000V00014,-69.666,-22.35,0.0894393995404243,0.138785511255264,1.9704498052597,1.07474315166473,1.06936395168304,1.96747493743896,1.06301474571228,0.132642462849617"
"E000220002,-68.892,-22.498,1.82416081428528,2.73831939697266,1.98015010356903,1.95787382125854,1.95411467552185,1.98067247867584,1.08011209964752,1.01111972332001"
"E000V00009,-69.32,-22.892,0.157319441437721,1.04873859882355,1.96596276760101,1.95106291770935,1.9455885887146,1.97504901885986,1.92409718036652,1.03140676021576"
"E000V00012,-68.213,-22.932,1.9572536945343,1.0095546245575,1.98725509643555,1.98958373069763,1.98733150959015,1.99086356163025,1.98360788822174,1.97369527816772"
"E000230001,-70.445,-23.454,0.802846193313599,1.06838953495026,1.63389623165131,1.62701678276062,1.56558167934418,1.71250820159912,1.74895036220551,1.47965514659882"
"E000V00166,-67.44,-23.6,1.93761134147644,0.0794941112399101,1.97907269001007,1.98647475242615,1.98109316825867,1.98170220851898,1.98590195178986,1.97621190547943"
"E000V00165,-68.57,-23.94,1.00463807582855,1.00169146060944,1.03800618648529,1.98090243339539,1.97725427150726,1.98524057865143,1.98800599575043,1.97844624519348"
"E000V00164,-69.69,-24.51,0.997256398200989,1.00207757949829,1.01183378696442,1.0149564743042,1.01452052593231,1.99153232574463,1.99425995349884,1.98964548110962"
"E000V00167,-69.3,-25,0.997701704502106,1.00075256824493,1.00425744056702,1.00696885585785,1.00610876083374,1.98908185958862,1.99153339862823,1.98856425285339"
"E000V00010,-70.484,-25.411,0.991451919078827,1.00606536865234,1.03204333782196,1.04899895191193,1.96557700634003,1.97965586185455,1.98891937732697,1.96657276153564"
"E000V00168,-69.27,-25.7,0.989639639854431,0.994373917579651,0.0406715832650661,0.0441725887358189,0.0423746295273304,1.01241946220398,1.01616203784943,1.01085615158081"
"E000V00169,-68.99,-26.25,0.000996034243144095,0.00118883291725069,0.00145905138924718,0.00158264255151153,0.00148948235437274,0.00171689421404153,0.0018731813179329,0.00169723550789058"
"E000V00016,-70.611,-26.332,0.963950991630554,1.01380622386932,1.13215231895447,1.95815062522888,1.16979658603668,1.95178771018982,1.96787559986115,1.09028816223145"
"E000V00017,-70.046,-26.391,0.962395012378693,1.00551307201385,1.90205419063568,1.95850884914398,1.92598378658295,1.94308471679688,1.95812916755676,1.06721389293671"
"E000V00170,-69.33,-27.07,0.969532668590546,0.999298453330994,1.94644975662231,1.96566486358643,1.95257115364075,1.94409358501434,1.9640908241272,1.94047784805298"
"E000270008,-70.781,-27.254,0.00790695007890463,1.00105094909668,1.00764954090118,2.00016760826111,1.99843525886536,1.99329006671906,1.0106555223465,1.00291585922241"
"E000270009,-70.353,-27.359,0.16787613928318,1.01696753501892,1.16020250320435,1.99680399894714,1.96604919433594,1.21898758411407,1.20753371715546,0.411036252975464"
"E000V00171,-69.81,-27.98,0.985201954841614,1.00250375270844,1.99470019340515,2.00466442108154,1.99843800067902,1.99170708656311,2.00537371635437,1.99475300312042"
"E000V00019,-71.225,-28.463,0.0187996942549944,0.0277971774339676,1.02573752403259,1.02916181087494,2.00148630142212,2.9777295589447,2.98639130592346,2.98395180702209"
"E000V00018,-70.449,-28.768,0.0311154406517744,0.0447121523320675,2.00147247314453,2.00618696212769,2.00250673294067,2.95689344406128,2.9791522026062,2.96746492385864"
"E000V00015,-70,-28.976,0.00608551409095526,0.0087703000754118,2.00130033493042,2.00208592414856,2.00061082839966,2.00151348114014,2.99613094329834,2.00404119491577"
"E000V00021,-71.116,-29.372,0.959843814373016,1.09016132354736,2.05718016624451,2.08287978172302,2.034334897995,2.70841145515442,2.87325859069824,2.83385062217712"
"E000290004,-71.207,-29.914,1.11073446273804,1.92866063117981,2.07002425193787,2.08007740974426,2.02939176559448,2.02915859222412,2.21414041519165,2.19321346282959"
"E000V00022,-70.721,-30.031,1.01506316661835,1.0342583656311,2.01631712913513,2.01875233650208,2.00636053085327,2.95360326766968,3.93577933311462,2.98223638534546"
"E000V00020,-71.082,-30.234,1.85006546974182,1.9283983707428,2.08740162849426,2.09607696533203,2.03242969512939,2.04325199127197,2.97910118103027,2.93959403038025"
"E000V00172,-71.72,-30.38,1.39873456954956,1.83177721500397,2.66068744659424,2.73459148406982,2.29883313179016,1.98730516433716,2.73584771156311,2.76205801963806"
"E000V00027,-70.937,-30.746,1.94404911994934,1.9848335981369,2.9678258895874,2.97460412979126,2.06481146812439,2.03565049171448,3.01383757591248,3.01463007926941"
"E000V00028,-71.256,-30.838,1.90537559986115,1.97632896900177,2.94712352752686,2.95906472206116,2.80628490447998,2.75318074226379,3.71502089500427,3.71905612945557"
"E000V00026,-70.999,-31.188,1.93665456771851,1.99413859844208,2.99132585525513,3.00090551376343,2.04664421081543,1.99301028251648,2.96221089363098,2.97251081466675"
"E000V00024,-71.413,-31.39,1.7743866443634,1.98781800270081,2.98888993263245,3.0286602973938,2.14952993392944,1.9354659318924,2.83436036109924,2.8835391998291"
"E000V00023,-71.152,-31.633,1.71303915977478,2.00761294364929,3.0277783870697,3.07977533340454,2.21162486076355,1.91356992721558,2.68927097320557,2.77183485031128"
