Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,0.84,1.44,1.50,1.54,1.71,1.38,0.99,0.71
E000V00002,-18.197,-69.554,1.30,2.07,2.12,2.15,2.34,2.14,1.88,1.69
E000180005,-18.356,-70.340,2.36,2.04,1.93,1.62,1.60,1.38,0.82,0.75
E000V00001,-19.011,-69.857,1.96,2.60,2.63,2.71,2.64,2.15,1.87,1.69
E000V00006,-19.276,-68.638,0.95,1.94,1.93,1.98,2.20,1.99,1.62,1.34
E000V00005,-19.313,-69.427,1.67,2.37,2.39,2.43,2.51,2.03,1.71,1.66
E000V00007,-19.996,-69.767,1.27,0.68,0.03,0.33,0.09,0.04,-0.18,-0.00
E000V00004,-20.250,-70.117,-2.52,-2.52,0.30,0.63,0.62,0.55,0.55,0.48
E000V00008,-20.501,-69.342,2.02,2.79,2.33,2.30,1.84,1.10,0.77,0.74
E000200006,-20.549,-70.181,-2.52,1.45,1.17,0.41,0.28,0.99,0.69,1.07
E000V00011,-21.224,-68.255,1.28,1.45,1.38,1.37,1.21,0.72,0.47,0.20
E000V00013,-22.091,-70.200,1.63,1.54,1.21,0.91,0.65,0.61,0.36,0.37
E000V00014,-22.350,-69.666,0.97,1.20,0.28,0.26,0.40,0.28,0.21,0.26
E000220002,-22.498,-68.892,2.18,2.25,2.23,1.73,1.47,0.95,0.79,1.16
E000V00009,-22.892,-69.320,3.05,0.52,0.28,0.17,0.08,-0.05,-0.23,-0.26
E000V00012,-22.932,-68.213,2.05,2.40,2.03,1.89,1.48,0.90,0.83,0.61
E000230001,-23.454,-70.445,-2.52,1.45,1.32,0.37,0.24,1.62,1.44,2.72
E000V00166,-23.600,-67.440,1.51,1.53,1.33,1.27,1.15,1.02,0.86,0.47
E000V00165,-23.940,-68.570,2.49,2.26,1.73,1.55,1.26,0.94,0.87,0.85
E000V00164,-24.510,-69.690,0.07,1.00,0.53,0.28,0.34,0.69,0.57,0.48
E000V00167,-25.000,-69.300,2.96,1.61,1.14,0.93,0.94,0.96,0.84,0.78
E000V00010,-25.411,-70.484,0.03,0.21,0.22,0.91,0.81,0.73,0.74,0.65
