Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.95,-0.67,-0.25,0.14,0.82,1.11,1.01,0.55
E000V00002,-18.197,-69.554,-0.79,-0.35,0.31,0.64,1.63,1.77,1.81,1.59
E000180005,-18.356,-70.340,1.30,1.05,0.31,0.12,1.46,0.79,0.93,0.59
E000V00001,-19.011,-69.857,0.09,0.05,0.06,0.20,2.12,1.96,1.80,1.59
E000V00006,-19.276,-68.638,-0.61,-0.52,-0.62,-0.60,1.11,1.71,1.61,1.25
E000V00005,-19.313,-69.427,-0.41,-0.32,-0.23,-0.12,1.89,1.71,1.65,1.49
E000V00007,-19.996,-69.767,-0.25,-1.06,-1.03,-0.94,-0.35,-0.30,-0.23,-0.28
E000V00004,-20.250,-70.117,-2.52,0.36,0.33,0.26,0.26,0.43,0.44,0.47
E000V00008,-20.501,-69.342,-1.55,-1.11,-0.77,-0.61,1.47,0.87,0.67,0.60
E000200006,-20.549,-70.181,1.97,1.97,0.69,1.34,1.33,0.89,1.27,1.07
E000V00011,-21.224,-68.255,-0.69,-0.41,-0.39,-0.33,0.94,0.57,0.40,0.09
E000V00013,-22.091,-70.200,0.30,0.40,0.24,0.26,0.66,0.47,0.35,0.35
E000V00014,-22.350,-69.666,0.57,0.17,0.15,0.16,0.58,0.33,0.27,0.23
E000220002,-22.498,-68.892,1.97,1.66,0.31,-0.20,1.36,0.84,0.56,0.51
E000V00009,-22.892,-69.320,0.29,-0.24,-0.26,-0.33,0.10,-0.30,-0.30,-0.36
E000V00012,-22.932,-68.213,1.27,0.76,0.50,0.24,1.46,0.84,0.73,0.46
E000230001,-23.454,-70.445,1.66,0.55,-0.27,-0.51,-0.48,-0.37,1.20,1.11
E000V00166,-23.600,-67.440,-0.13,0.26,0.18,0.09,1.22,0.99,0.78,0.44
E000V00165,-23.940,-68.570,1.55,1.20,1.00,0.69,1.22,0.97,0.89,0.77
E000V00164,-24.510,-69.690,0.42,0.12,0.05,-0.07,0.14,0.21,0.45,0.42
E000V00167,-25.000,-69.300,1.17,0.47,0.38,0.45,0.93,0.77,0.78,0.73
E000V00010,-25.411,-70.484,0.28,0.02,0.21,0.33,0.32,0.57,0.60,0.65
E000V00168,-25.700,-69.270,1.07,0.82,0.61,0.65,0.85,0.88,0.88,0.97
E000V00169,-26.250,-68.990,0.49,0.42,0.67,0.68,0.62,0.34,0.57,0.54
E000V00016,-26.332,-70.611,0.33,0.36,1.16,1.01,1.07,1.01,0.97,1.00
E000V00017,-26.391,-70.046,-2.52,0.42,1.76,1.65,1.63,1.41,1.16,1.24
E000V00170,-27.070,-69.330,1.85,1.81,2.11,1.59,1.34,0.79,0.92,1.14
E000270008,-27.254,-70.781,1.17,1.49,-0.40,-0.63,-0.64,-1.30,-0.20,-0.68
E000270009,-27.359,-70.353,1.66,0.95,-0.41,-0.95,-0.95,-1.44,0.29,-0.12
E000V00171,-27.980,-69.810,-0.20,-0.16,0.96,1.08,0.92,0.59,0.67,1.01
E000V00019,-28.463,-71.225,-2.52,0.11,-0.18,-0.30,-0.30,-0.16,-0.03,-0.07
E000V00018,-28.768,-70.449,-2.52,0.12,-0.62,-0.27,-0.27,0.04,0.29,0.26
E000V00015,-28.976,-70.000,-0.53,0.61,-0.22,0.62,0.80,0.65,1.11,1.16
E000V00021,-29.372,-71.116,0.00,1.45,-0.57,-0.42,-0.45,-0.17,0.17,0.35
E000290004,-29.914,-71.207,0.41,-0.95,-1.97,-1.61,-1.62,-1.55,-0.09,-0.63
E000V00022,-30.031,-70.721,-0.77,0.68,-0.82,-0.93,-0.93,-0.62,-0.41,-0.25
E000V00020,-30.234,-71.082,-0.50,-0.30,-0.74,-0.56,-0.58,-0.35,0.11,0.33
E000V00172,-30.380,-71.720,0.11,-0.13,-1.03,-0.68,-0.69,-0.82,-0.15,0.17
E000V00027,-30.746,-70.937,-0.41,-0.22,-0.76,-0.78,-0.79,-0.46,0.08,0.36
E000V00028,-30.838,-71.256,-0.39,-0.35,-0.40,-0.56,-0.56,-0.67,0.12,0.43
E000V00026,-31.188,-70.999,-0.20,-0.40,-1.12,-1.04,-1.04,-0.87,-0.29,-0.03
E000V00024,-31.390,-71.413,0.03,-0.08,-0.79,-0.96,-0.96,-1.17,-0.29,0.02
E000V00023,-31.633,-71.152,0.03,0.06,-0.87,-1.02,-1.01,-1.02,-0.24,0.06
E000V00025,-31.783,-70.970,0.04,0.16,-0.95,-1.01,-1.00,-0.72,-0.12,0.05
E000320019,-32.076,-70.707,1.17,-0.34,-1.79,-1.89,-1.96,-2.23,-1.39,-1.16
E000V00035,-32.251,-70.926,-0.41,-1.16,-1.40,-1.28,-1.28,-1.18,-0.54,-0.23
E000V00174,-32.343,-70.464,-0.52,-0.50,-1.70,-1.38,-1.35,-1.01,-0.56,-0.40
E000V00033,-32.362,-70.819,-0.52,-0.93,-1.31,-1.37,-1.35,-1.40,-0.84,-0.53
E000V00034,-32.505,-71.441,-0.54,-0.76,-1.27,-1.37,-1.34,-1.57,-1.08,-0.82
E000V00175,-32.540,-71.014,-0.65,-0.77,-1.17,-1.54,-1.51,-1.67,-1.20,-0.89
E000V00041,-32.594,-70.725,-0.45,-0.86,-1.49,-1.48,-1.48,-1.42,-0.87,-0.49
E000V00176,-32.618,-70.368,-1.08,-0.70,-1.64,-1.69,-1.68,-1.47,-0.96,-0.72
E000V00040,-32.757,-70.809,-0.51,-0.73,-1.37,-1.45,-1.43,-1.50,-0.96,-0.55
E000V00031,-32.789,-71.526,-0.64,-0.32,-1.16,-1.54,-1.53,-1.74,-1.19,-0.85
E000V00037,-32.790,-71.173,-0.90,-0.49,-1.31,-1.49,-1.47,-1.60,-1.07,-0.83
E000320028,-32.828,-71.227,0.62,-0.77,-1.85,-1.62,-1.65,-2.09,-1.76,-1.61
E000V00032,-32.890,-70.382,-1.19,-0.77,-1.74,-1.41,-1.43,-1.37,-0.91,-0.58
E000V00036,-32.893,-71.207,-0.96,-0.52,-1.36,-1.62,-1.60,-1.79,-1.30,-1.08
E000V00030,-32.917,-71.517,-0.86,-0.43,-1.22,-1.65,-1.63,-1.82,-1.25,-0.95
E000V00042,-32.994,-71.261,-0.51,-0.51,-1.31,-1.65,-1.63,-1.78,-1.19,-0.98
E000330002,-33.023,-71.648,0.03,-1.01,-2.96,-2.12,-2.18,-2.00,-1.08,-1.26
E000330007,-33.065,-71.556,-0.15,-1.17,-2.85,-2.11,-2.12,-2.30,-1.43,-1.53
E000V00029,-33.083,-71.400,-0.62,-0.41,-1.29,-1.56,-1.54,-1.68,-1.13,-0.90
E000V00051,-33.121,-70.834,-0.25,-0.53,-1.52,-1.72,-1.72,-2.00,-1.45,-1.06
E000V00050,-33.147,-70.660,0.07,-0.61,-1.56,-1.57,-1.57,-1.74,-1.08,-0.69
E000V00177,-33.230,-71.460,-0.72,-0.64,-1.22,-1.43,-1.42,-1.64,-1.11,-0.89
E000V00178,-33.287,-71.155,-0.72,-0.51,-1.32,-1.47,-1.46,-1.69,-1.14,-0.86
E000V00046,-33.353,-70.502,0.18,-0.75,-1.51,-1.42,-1.42,-1.58,-1.18,-0.95
E000330021,-33.378,-70.787,0.62,-1.20,-2.08,-2.04,-2.13,-2.03,-1.65,-1.38
E000V00043,-33.420,-70.733,-0.18,-0.87,-1.63,-1.60,-1.59,-1.87,-1.37,-1.03
E000V00055,-33.439,-71.026,-0.24,-0.70,-1.23,-1.45,-1.42,-1.69,-1.12,-1.02
E000V00038,-33.439,-71.624,-0.99,-0.67,-1.20,-1.29,-1.29,-1.60,-1.02,-0.69
E000330020,-33.445,-70.683,0.48,-0.65,-1.81,-1.89,-1.97,-2.13,-1.56,-1.39
E000330019,-33.455,-70.549,0.62,-0.52,-1.88,-1.82,-1.87,-2.27,-1.77,-1.31
E000V00044,-33.467,-70.700,-0.50,-0.92,-1.58,-1.45,-1.45,-1.75,-1.31,-1.13
E000V00047,-33.517,-70.766,-1.06,-0.88,-1.47,-1.50,-1.49,-1.69,-1.27,-1.04
E000V00039,-33.543,-71.596,-0.61,-0.64,-1.14,-1.20,-1.19,-1.52,-1.07,-0.87
E000V00045,-33.545,-70.548,0.27,-0.92,-1.68,-1.53,-1.58,-1.65,-1.11,-0.71
E000V00058,-33.608,-70.902,-0.27,-0.44,-1.31,-1.42,-1.42,-1.67,-1.24,-1.05
E000V00048,-33.617,-70.567,-0.24,-0.38,-1.63,-1.47,-1.46,-1.53,-1.04,-1.01
E000330031,-33.636,-78.833,-0.96,-2.49,-3.05,-1.29,-1.49,-0.52,-0.15,-0.28
E000330030,-33.656,-71.613,0.55,-1.02,-3.05,-2.21,-2.26,-2.38,-1.59,-1.55
E000V00049,-33.676,-70.089,-0.28,-0.82,-1.77,-1.53,-1.56,-1.37,-0.89,-0.60
E000V00057,-33.692,-71.101,-0.25,-0.52,-1.35,-1.48,-1.49,-1.78,-1.33,-1.15
E000V00052,-33.707,-70.707,0.11,-0.60,-1.57,-1.40,-1.41,-1.58,-1.13,-0.91
E000V00053,-33.862,-70.639,-0.08,-0.73,-1.67,-1.54,-1.55,-1.72,-1.31,-1.02
E000V00179,-33.878,-70.220,-0.61,-0.98,-1.88,-1.66,-1.68,-1.58,-1.00,-0.85
E000V00056,-33.941,-71.394,-0.40,-0.59,-1.22,-1.27,-1.27,-1.52,-1.15,-1.05
E000V00068,-33.959,-71.825,-0.71,-0.81,-1.32,-1.30,-1.31,-1.43,-1.12,-0.97
E000V00064,-33.983,-70.717,0.33,-0.37,-1.54,-1.33,-1.35,-1.68,-1.26,-0.98
E000V00054,-34.029,-70.995,0.25,-0.54,-1.38,-1.34,-1.36,-1.62,-1.24,-1.08
E000V00059,-34.169,-70.772,0.32,-0.31,-1.41,-1.20,-1.22,-1.46,-1.15,-0.98
E000V00180,-34.203,-70.402,-0.17,-0.50,-1.75,-1.43,-1.45,-1.49,-1.03,-0.89
E000V00061,-34.215,-70.997,0.46,-0.59,-1.37,-1.21,-1.23,-1.48,-1.18,-1.04
E000V00062,-34.217,-71.300,-0.10,-0.49,-1.26,-1.12,-1.14,-1.40,-1.13,-1.10
E000V00060,-34.261,-70.948,-0.16,-0.57,-1.45,-1.26,-1.28,-1.50,-1.16,-1.04
E000V00066,-34.279,-70.812,-0.16,-0.51,-1.45,-1.26,-1.28,-1.48,-1.12,-1.03
E000V00065,-34.322,-70.834,-0.24,-0.58,-1.43,-1.25,-1.28,-1.43,-1.09,-1.06
E000V00067,-34.394,-72.019,-1.17,-0.47,-1.27,-1.43,-1.42,-1.55,-1.24,-1.31
E000V00063,-34.411,-70.210,-1.06,-1.11,-1.69,-1.32,-1.43,-1.11,-0.83,-0.73
E000V00071,-34.485,-71.463,-0.85,-0.60,-1.47,-1.39,-1.41,-1.58,-1.22,-1.06
E000V00069,-34.645,-71.898,-1.17,-0.98,-1.58,-1.64,-1.64,-1.69,-1.31,-1.29
E000V00072,-34.691,-71.400,-0.74,-0.61,-1.53,-1.39,-1.40,-1.42,-1.14,-1.06
E000V00070,-34.714,-71.630,-1.27,-0.70,-1.46,-1.42,-1.43,-1.52,-1.15,-0.99
E000340044,-34.721,-71.020,0.03,-1.04,-2.31,-1.62,-1.80,-2.22,-1.80,-1.83
E000V00181,-34.781,-70.520,-1.60,-1.04,-1.71,-1.45,-1.49,-1.35,-1.03,-1.05
E000V00086,-34.855,-72.026,-1.12,-0.53,-1.47,-1.66,-1.65,-1.58,-1.18,-1.09
E000V00084,-34.960,-71.125,-1.47,-0.74,-1.63,-1.33,-1.33,-1.34,-0.99,-0.83
E000V00083,-34.968,-71.832,-1.11,-0.78,-1.57,-1.60,-1.59,-1.56,-1.13,-1.12
E000340031,-34.969,-71.217,0.16,-1.33,-2.72,-2.32,-2.44,-2.25,-1.46,-1.39
