Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,0.30,-0.47,-0.16,-0.20,-0.23,-0.95,-0.21,-0.20
E000V00002,-18.197,-69.554,0.59,0.33,0.33,0.32,0.41,0.23,0.54,0.49
E000V00001,-19.011,-69.857,0.77,0.66,0.37,0.25,0.27,0.21,0.23,0.27
E000V00006,-19.276,-68.638,1.24,0.22,0.31,0.24,0.26,-0.42,0.24,0.10
E000V00005,-19.313,-69.427,0.79,0.48,0.22,0.19,0.20,0.12,0.44,0.30
E000V00007,-19.996,-69.767,-0.42,-1.20,-1.45,-1.64,-1.42,-1.20,-1.03,-1.01
E000V00004,-20.250,-70.117,-2.52,-2.52,-0.53,-1.12,-1.03,-0.72,-0.54,-0.51
E000V00008,-20.501,-69.342,-1.67,-0.76,-0.94,-0.98,-0.95,-0.87,-0.78,-0.79
E000V00011,-21.224,-68.255,-0.22,-0.49,-0.57,-0.57,-0.52,-0.65,-0.65,-0.66
E000V00013,-22.091,-70.200,-0.28,0.94,0.57,0.42,0.30,0.38,0.22,0.10
E000V00014,-22.350,-69.666,1.10,0.61,-0.04,-0.06,-0.06,0.56,0.42,0.31
E000V00009,-22.892,-69.320,-0.09,-0.97,-1.34,-1.17,-0.93,-0.37,-0.33,-0.42
E000V00012,-22.932,-68.213,0.18,-0.68,-0.38,-0.45,-0.41,0.01,-0.17,-0.39
E000V00166,-23.600,-67.440,-0.58,0.12,-0.05,-0.07,-0.07,0.23,0.04,-0.22
E000V00165,-23.940,-68.570,-0.58,-0.01,0.48,0.41,0.30,0.44,0.57,0.48
E000V00164,-24.510,-69.690,0.10,-0.14,-0.22,-0.12,-0.16,0.26,0.22,0.15
E000V00167,-25.000,-69.300,0.36,0.34,0.27,0.23,0.27,0.28,0.27,0.22
E000V00010,-25.411,-70.484,0.25,0.16,0.02,-0.25,-0.30,-0.12,-0.26,-0.19
E000V00168,-25.700,-69.270,0.87,0.78,0.68,0.55,0.30,0.41,0.44,0.43
E000V00169,-26.250,-68.990,0.01,-0.13,-0.25,-0.17,-0.21,-0.07,0.05,-0.05
E000V00016,-26.332,-70.611,0.79,0.63,-0.41,0.27,0.12,0.25,0.01,0.18
E000V00017,-26.391,-70.046,0.22,0.04,-0.58,0.28,-0.01,0.03,-0.35,-0.12
E000V00170,-27.070,-69.330,0.45,0.63,0.53,0.46,0.03,0.04,0.06,0.14
E000V00171,-27.980,-69.810,-0.10,-0.04,-0.13,0.17,0.15,0.13,0.04,0.11
E000V00019,-28.463,-71.225,0.06,0.01,-0.24,-0.99,-1.45,-0.72,-0.99,-0.54
E000V00018,-28.768,-70.449,0.24,0.17,-0.26,-1.43,-2.00,-1.44,-1.39,-0.93
E000V00015,-28.976,-70.000,1.00,1.16,0.92,0.30,-0.74,-0.61,-0.53,-0.31
E000V00021,-29.372,-71.116,0.04,0.11,-0.11,-1.26,-1.67,-1.66,-1.81,-1.23
E000V00022,-30.031,-70.721,0.13,0.05,-0.77,-1.41,-1.85,-1.78,-1.81,-1.15
E000V00020,-30.234,-71.082,0.06,0.19,-0.17,-1.11,-1.64,-1.34,-1.50,-1.00
E000V00172,-30.380,-71.720,-0.29,0.18,0.05,-0.67,-1.35,-1.51,-1.89,-1.86
E000V00027,-30.746,-70.937,0.49,0.43,-0.20,-1.13,-1.72,-1.11,-1.37,-1.04
E000V00028,-30.838,-71.256,0.18,0.34,-0.08,-0.67,-1.51,-1.43,-1.82,-1.69
E000V00026,-31.188,-70.999,0.09,0.13,-0.11,-0.90,-1.58,-1.09,-1.43,-1.35
E000V00024,-31.390,-71.413,0.15,0.22,0.25,0.20,-0.72,-1.24,-1.87,-1.93
E000V00023,-31.633,-71.152,0.20,0.14,0.66,0.29,-0.57,-0.90,-1.32,-1.32
E000V00025,-31.783,-70.970,-0.14,-0.14,1.24,0.03,-0.60,-0.42,-0.85,-0.78
E000V00035,-32.251,-70.926,-0.45,0.49,0.82,-0.13,-0.91,-0.90,-1.43,-1.41
E000V00174,-32.343,-70.464,-0.71,-0.57,-0.33,-0.34,-1.03,-1.00,-1.14,-1.11
E000V00033,-32.362,-70.819,-0.29,-0.01,0.58,0.16,-0.56,-0.80,-1.33,-1.23
E000V00034,-32.505,-71.441,-0.61,-0.07,0.09,0.56,-0.35,-0.88,-1.54,-1.62
E000V00175,-32.540,-71.014,-0.66,-0.20,0.08,0.33,-0.44,-0.85,-1.47,-1.57
E000V00041,-32.594,-70.725,-0.39,-0.27,-0.07,0.02,-0.76,-1.12,-1.63,-1.50
E000V00176,-32.618,-70.368,-0.67,0.28,-0.37,0.06,-0.65,-0.99,-1.25,-1.21
E000V00040,-32.757,-70.809,-0.31,-0.10,0.26,0.18,-0.55,-0.93,-1.58,-1.59
E000V00031,-32.789,-71.526,-0.76,-0.15,0.55,0.48,-0.25,-0.84,-1.53,-1.51
E000V00037,-32.790,-71.173,-0.49,-0.08,0.00,0.54,-0.39,-1.00,-1.63,-1.62
