Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.54,-0.67,0.71,0.07,0.07,-0.13,0.44,0.54
E000V00002,-18.197,-69.554,0.52,0.57,0.58,0.27,0.29,0.65,1.25,1.41
E000180005,-18.356,-70.340,1.17,0.45,0.20,0.78,0.67,1.46,1.88,1.43
E000V00001,-19.011,-69.857,-0.15,-0.27,0.15,0.43,0.35,0.63,1.36,1.44
E000V00006,-19.276,-68.638,-0.01,-0.26,0.24,-0.19,-0.18,-0.15,0.66,0.86
E000V00005,-19.313,-69.427,0.50,0.03,-0.51,-0.07,-0.08,0.47,1.23,1.27
E000V00007,-19.996,-69.767,-1.57,-0.33,-0.18,-0.23,-0.54,-0.77,-0.62,-0.53
E000V00004,-20.250,-70.117,0.35,0.69,0.86,0.87,-0.20,0.01,0.09,0.21
E000V00008,-20.501,-69.342,-0.59,-0.29,-1.12,-0.76,-0.83,-0.53,0.32,0.28
E000200006,-20.549,-70.181,1.19,0.66,1.03,0.98,0.87,0.93,1.28,1.56
E000V00011,-21.224,-68.255,0.08,0.17,-0.64,-0.67,-0.64,-0.51,0.07,0.10
E000V00013,-22.091,-70.200,0.17,-0.17,-0.19,-0.55,-0.31,0.02,0.27,0.27
E000V00014,-22.350,-69.666,-0.02,-0.15,0.52,0.17,-0.14,0.11,0.23,0.20
E000220002,-22.498,-68.892,1.19,0.03,-0.73,-1.18,-1.18,0.60,1.06,0.90
E000V00009,-22.892,-69.320,-0.11,-0.63,-0.28,-0.89,-0.80,-0.55,-0.30,-0.38
E000V00012,-22.932,-68.213,-0.16,-0.18,-0.37,-1.23,-1.08,-0.07,0.47,0.35
E000230001,-23.454,-70.445,0.73,-0.39,-0.59,-0.33,0.34,-0.35,-0.46,-0.59
E000V00166,-23.600,-67.440,-0.41,-0.25,0.23,-1.10,-1.07,-0.27,0.22,0.37
E000V00165,-23.940,-68.570,-0.13,-0.21,-0.35,0.21,0.15,0.36,0.67,0.63
E000V00164,-24.510,-69.690,-0.21,-0.11,-0.21,-0.23,-0.12,-0.12,-0.01,0.06
E000V00167,-25.000,-69.300,-0.55,-0.10,-0.01,0.13,0.02,0.13,0.41,0.47
E000V00010,-25.411,-70.484,-0.73,-0.97,-0.79,-0.62,-0.53,-0.22,-0.02,0.19
E000V00168,-25.700,-69.270,-0.98,0.09,-0.11,0.38,0.34,0.38,0.55,0.65
E000V00169,-26.250,-68.990,-1.14,-0.06,-0.36,-0.62,-0.51,-0.34,-0.02,0.01
E000V00016,-26.332,-70.611,-1.41,-1.04,-0.70,-0.68,-0.27,0.24,0.54,0.58
E000V00017,-26.391,-70.046,-1.43,-1.37,-1.45,-1.41,-1.08,-0.21,0.48,0.63
E000V00170,-27.070,-69.330,-1.28,-0.64,-0.82,-0.23,-0.21,0.26,0.62,0.53
E000270008,-27.254,-70.781,0.24,-0.53,-0.61,-0.56,-0.61,-1.28,-1.62,-1.94
E000270009,-27.359,-70.353,1.27,0.65,0.44,0.44,0.43,-0.27,-0.81,-1.35
E000V00171,-27.980,-69.810,-0.68,-0.23,-0.41,-0.35,-0.32,0.33,0.56,0.48
E000V00019,-28.463,-71.225,-1.42,-1.63,-1.70,-1.69,-1.55,-0.30,-0.24,-0.22
E000V00018,-28.768,-70.449,-1.42,-1.12,-1.23,-1.20,-1.25,-0.39,-0.30,-0.15
E000V00015,-28.976,-70.000,-1.26,-0.69,-0.54,-0.36,-0.40,0.17,0.39,0.39
E000V00021,-29.372,-71.116,-1.04,-1.14,-1.32,-1.29,-1.36,-0.54,-0.61,-0.42
E000290004,-29.914,-71.207,-0.43,-1.63,-1.94,-1.91,-2.00,-1.51,-2.31,-2.56
E000V00022,-30.031,-70.721,-1.34,-0.80,-0.94,-0.92,-1.07,-0.24,-0.59,-0.49
E000V00020,-30.234,-71.082,-1.19,-0.91,-1.27,-1.24,-1.29,-0.54,-0.63,-0.49
E000V00172,-30.380,-71.720,-1.05,-1.49,-1.86,-1.75,-1.75,-1.69,-1.56,-1.36
E000V00027,-30.746,-70.937,-1.27,-1.19,-1.50,-1.46,-1.49,-0.90,-0.91,-0.70
E000V00028,-30.838,-71.256,-1.23,-1.36,-1.76,-1.71,-1.74,-1.66,-1.42,-1.21
E000V00026,-31.188,-70.999,-1.35,-1.89,-2.08,-2.04,-2.08,-1.56,-1.36,-1.20
E000V00024,-31.390,-71.413,-1.20,-1.90,-2.00,-1.94,-1.96,-1.79,-1.88,-1.75
E000V00023,-31.633,-71.152,-0.87,-1.72,-1.85,-1.81,-1.87,-1.71,-1.55,-1.35
E000V00025,-31.783,-70.970,-0.77,-1.80,-1.81,-1.78,-1.85,-1.15,-1.10,-0.90
E000320019,-32.076,-70.707,-0.36,-0.78,-0.81,-0.59,-0.86,-0.97,-1.69,-1.94
E000V00035,-32.251,-70.926,-0.76,-1.97,-2.01,-1.96,-2.11,-1.85,-1.84,-1.50
E000V00174,-32.343,-70.464,-0.65,-1.96,-1.71,-1.68,-1.91,-1.34,-1.20,-1.07
E000V00033,-32.362,-70.819,-0.74,-1.86,-1.92,-1.87,-1.98,-1.56,-1.69,-1.49
E000V00034,-32.505,-71.441,-0.79,-2.06,-2.05,-1.95,-2.04,-1.67,-1.95,-2.00
E000V00175,-32.540,-71.014,-0.72,-2.09,-2.16,-2.11,-2.16,-1.78,-2.06,-2.03
E000V00041,-32.594,-70.725,-0.93,-1.95,-1.90,-1.85,-1.98,-1.60,-1.82,-1.56
E000V00176,-32.618,-70.368,-0.73,-1.86,-1.85,-1.77,-2.10,-1.50,-1.51,-1.36
E000V00040,-32.757,-70.809,-0.81,-2.06,-2.27,-2.18,-2.29,-1.66,-1.87,-1.83
E000V00031,-32.789,-71.526,-0.67,-2.04,-2.10,-2.00,-2.11,-1.48,-1.88,-1.98
E000V00037,-32.790,-71.173,-0.84,-2.09,-1.92,-1.82,-1.97,-1.45,-1.85,-1.90
E000320028,-32.828,-71.227,-1.24,-1.62,-1.61,-1.76,-1.98,-1.58,-1.91,-2.13
E000V00032,-32.890,-70.382,-0.75,-1.85,-1.83,-1.77,-2.01,-1.53,-1.49,-1.35
