Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,1.66,1.27,0.42,0.73,0.76,0.40,-0.22,0.11
E000V00002,-18.197,-69.554,0.94,1.19,0.69,0.80,0.92,0.72,0.51,0.69
E000180005,-18.356,-70.340,1.70,1.01,0.06,-0.17,-0.47,-0.31,-0.51,-0.85
E000V00001,-19.011,-69.857,0.29,0.57,0.12,0.05,0.02,0.13,0.13,0.17
E000V00006,-19.276,-68.638,-0.22,1.51,0.10,0.38,0.45,0.38,-0.11,0.30
E000V00005,-19.313,-69.427,0.50,0.25,-0.05,0.03,0.10,0.13,0.09,0.36
E000V00007,-19.996,-69.767,-0.79,-1.30,-2.06,-2.08,-1.64,-1.57,-1.34,-1.28
E000V00004,-20.250,-70.117,-0.30,-0.30,-0.31,-5.52,-1.06,-0.99,-0.78,-0.68
E000V00008,-20.501,-69.342,-0.44,-1.33,-1.60,-1.72,-1.42,-1.19,-1.06,-0.94
E000200006,-20.549,-70.181,1.35,1.01,0.83,0.67,0.17,-0.45,-0.97,-1.45
E000V00011,-21.224,-68.255,-0.07,0.11,-1.37,-0.98,-0.94,-0.74,-0.75,-0.74
E000V00013,-22.091,-70.200,-0.42,-0.57,-1.09,-0.15,-0.32,-0.04,0.13,0.08
E000V00014,-22.350,-69.666,-0.94,-0.31,-1.33,0.53,0.42,0.17,0.52,0.44
E000220002,-22.498,-68.892,0.69,-0.03,-0.54,-0.54,-1.00,-0.70,-0.90,-0.89
E000V00009,-22.892,-69.320,-1.17,-0.89,-2.18,-1.93,-1.74,-1.41,-0.84,-0.67
E000V00012,-22.932,-68.213,-1.73,-1.76,-1.50,-1.55,-1.51,-1.01,-0.46,-0.50
E000230001,-23.454,-70.445,1.22,0.76,0.54,0.17,-0.31,-0.11,-0.59,-0.97
E000V00166,-23.600,-67.440,-1.53,-0.52,-0.31,-0.31,-0.38,-0.27,0.02,-0.09
E000V00165,-23.940,-68.570,-1.09,-0.46,-0.46,-0.28,-0.40,-0.07,0.16,0.34
E000V00164,-24.510,-69.690,-0.58,-0.03,-0.29,0.41,-0.12,-0.19,0.13,0.13
E000V00167,-25.000,-69.300,-1.26,0.31,0.25,0.63,0.21,0.19,0.28,0.27
E000V00010,-25.411,-70.484,-0.82,-0.59,-0.32,-1.30,-1.04,-0.68,-0.42,-0.46
E000V00168,-25.700,-69.270,-1.23,-0.63,0.36,1.01,0.28,0.26,0.39,0.39
E000V00169,-26.250,-68.990,-1.39,-0.90,-0.17,0.15,-0.45,-0.38,-0.18,-0.07
E000V00016,-26.332,-70.611,-1.11,-0.41,-0.37,-0.95,-0.88,-0.35,-0.10,-0.22
E000V00017,-26.391,-70.046,-1.39,-1.09,-1.05,-1.98,-1.82,-0.90,-0.58,-0.73
E000V00170,-27.070,-69.330,-1.28,-0.66,0.12,0.16,-1.27,-0.66,-0.34,-0.23
E000270008,-27.254,-70.781,0.39,0.01,0.05,0.01,-0.66,-0.66,0.09,-0.26
E000270009,-27.359,-70.353,0.62,0.31,0.29,-0.06,-0.87,-0.72,-0.79,-0.70
