Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,0.20,0.02,0.05,0.08,0.07,-0.12,0.46,0.54
E000V00002,-18.197,-69.554,0.39,0.98,0.13,0.24,0.29,0.66,1.26,1.42
E000180005,-18.356,-70.340,1.08,1.08,0.54,1.00,0.60,1.52,1.90,1.63
E000V00001,-19.011,-69.857,-0.30,0.21,0.29,0.43,0.34,0.64,1.40,1.44
E000V00006,-19.276,-68.638,0.72,0.26,-0.56,-0.18,-0.18,-0.15,0.68,0.86
E000V00005,-19.313,-69.427,-0.17,0.48,-0.48,-0.07,-0.08,0.48,1.24,1.27
E000V00007,-19.996,-69.767,1.14,1.12,-0.27,-0.30,-0.58,-0.78,-0.60,-0.54
E000V00004,-20.250,-70.117,0.74,1.01,1.01,0.89,-0.24,0.01,0.11,0.22
E000V00008,-20.501,-69.342,0.18,-0.16,-1.32,-0.81,-0.83,-0.53,0.33,0.28
E000200006,-20.549,-70.181,1.08,1.29,1.24,1.19,1.01,0.94,1.24,1.52
E000V00011,-21.224,-68.255,0.25,0.40,-1.20,-0.64,-0.64,-0.51,0.07,0.10
E000V00013,-22.091,-70.200,-0.63,-0.09,-0.78,-0.45,-0.31,0.02,0.26,0.26
E000V00014,-22.350,-69.666,-0.78,-0.28,0.12,-0.14,-0.15,0.10,0.23,0.20
E000220002,-22.498,-68.892,0.52,-0.03,-0.73,-0.79,0.91,0.60,1.20,0.90
E000V00009,-22.892,-69.320,-0.88,-0.30,-0.95,-0.86,-0.81,-0.55,-0.30,-0.38
E000V00012,-22.932,-68.213,-0.10,0.01,-1.09,-1.15,-1.09,-0.07,0.48,0.35
E000230001,-23.454,-70.445,0.98,0.52,0.39,0.75,0.35,-0.28,-0.36,-0.54
E000V00166,-23.600,-67.440,-0.07,-0.08,-1.10,-1.11,-1.07,-0.27,0.22,0.37
E000V00165,-23.940,-68.570,-0.18,-0.17,-0.30,0.18,0.15,0.36,0.67,0.63
E000V00164,-24.510,-69.690,-0.08,-0.30,-0.24,-0.17,-0.13,-0.11,0.00,0.06
E000V00167,-25.000,-69.300,-0.17,-0.13,-0.10,0.03,0.01,0.13,0.41,0.47
E000V00010,-25.411,-70.484,-0.04,-0.11,0.03,0.05,-0.04,0.09,0.39,0.30
E000V00168,-25.700,-69.270,0.25,-0.28,0.25,0.38,0.33,0.39,0.57,0.64
E000V00169,-26.250,-68.990,0.40,-0.27,-0.64,-0.49,-0.43,-0.25,0.01,0.03
E000V00016,-26.332,-70.611,0.29,0.20,0.26,0.31,0.61,0.81,0.84,0.81
E000V00017,-26.391,-70.046,0.19,-0.29,-0.26,-0.11,0.35,0.89,1.08,0.89
E000V00170,-27.070,-69.330,-0.20,-0.85,-0.22,-0.03,-0.02,0.47,0.69,0.59
E000270008,-27.254,-70.781,0.33,-0.15,-0.24,-0.29,-0.91,-1.48,-1.86,-1.21
E000270009,-27.359,-70.353,0.65,0.21,0.08,0.01,-0.77,-1.36,-2.04,-1.71
E000V00171,-27.980,-69.810,0.17,-0.28,-0.22,-0.21,-0.14,0.52,0.64,0.57
E000V00019,-28.463,-71.225,-0.13,-0.28,-0.27,-0.29,-1.27,0.23,-0.00,0.01
E000V00018,-28.768,-70.449,0.05,-0.23,-0.23,-0.23,-1.14,-0.08,-0.12,-0.03
E000V00015,-28.976,-70.000,-0.15,-0.57,-0.11,-0.15,-0.40,0.21,0.42,0.42
E000V00021,-29.372,-71.116,-0.23,-0.61,-0.64,-0.65,-1.24,-0.31,-0.42,-0.26
E000290004,-29.914,-71.207,-0.49,-0.94,-1.07,-1.25,-1.89,-1.44,-2.15,-2.26
E000V00022,-30.031,-70.721,0.21,0.01,0.01,0.01,-1.03,-0.07,-0.46,-0.38
E000V00020,-30.234,-71.082,-0.03,-0.54,-0.58,-0.56,-1.13,-0.32,-0.51,-0.33
E000V00172,-30.380,-71.720,-0.48,-1.23,-1.21,-1.17,-1.54,-1.46,-1.48,-1.16
E000V00027,-30.746,-70.937,-0.03,-0.54,-0.56,-0.53,-1.21,-0.60,-0.72,-0.50
E000V00028,-30.838,-71.256,-0.19,-1.01,-1.01,-1.00,-1.44,-1.14,-1.28,-0.97
E000V00026,-31.188,-70.999,-0.47,-1.00,-1.01,-0.99,-1.65,-1.29,-1.16,-1.01
E000V00024,-31.390,-71.413,-1.05,-1.39,-1.38,-1.34,-1.70,-1.45,-1.76,-1.45
E000V00023,-31.633,-71.152,-0.91,-1.23,-1.23,-1.22,-1.55,-1.43,-1.45,-1.06
E000V00025,-31.783,-70.970,-0.79,-0.94,-0.92,-0.90,-1.21,-0.94,-0.90,-0.63
E000320019,-32.076,-70.707,-0.16,-0.25,-0.01,-0.17,-0.68,-1.11,-1.68,-1.90
E000V00035,-32.251,-70.926,-1.20,-1.36,-1.35,-1.37,-1.54,-1.62,-1.70,-1.27
E000V00174,-32.343,-70.464,-0.97,-0.88,-0.87,-0.93,-1.34,-1.28,-1.10,-0.89
E000V00033,-32.362,-70.819,-1.14,-1.26,-1.24,-1.25,-1.30,-1.39,-1.54,-1.22
E000V00034,-32.505,-71.441,-1.61,-1.55,-1.48,-1.48,-1.74,-1.54,-1.86,-1.74
E000V00175,-32.540,-71.014,-1.72,-1.73,-1.68,-1.67,-1.63,-1.61,-1.92,-1.74
E000V00041,-32.594,-70.725,-1.20,-1.23,-1.21,-1.25,-1.37,-1.43,-1.68,-1.33
E000V00176,-32.618,-70.368,-1.06,-1.04,-0.94,-1.12,-1.35,-1.51,-1.44,-1.14
E000V00040,-32.757,-70.809,-1.55,-1.75,-1.65,-1.65,-1.53,-1.52,-1.73,-1.55
E000V00031,-32.789,-71.526,-1.44,-1.55,-1.45,-1.47,-1.63,-1.33,-1.77,-1.71
E000V00037,-32.790,-71.173,-1.52,-1.36,-1.29,-1.31,-1.53,-1.35,-1.79,-1.65
E000320028,-32.828,-71.227,-0.57,-0.74,-0.84,-1.05,-1.22,-1.55,-1.75,-1.95
E000V00032,-32.890,-70.382,-1.04,-1.12,-1.09,-1.17,-1.33,-1.41,-1.39,-1.16
E000V00036,-32.893,-71.207,-1.50,-1.51,-1.43,-1.46,-1.54,-1.27,-1.73,-1.67
E000V00030,-32.917,-71.517,-1.55,-1.63,-1.56,-1.59,-1.77,-1.36,-1.78,-1.70
E000V00042,-32.994,-71.261,-1.58,-1.68,-1.59,-1.61,-1.63,-1.44,-1.84,-1.69
E000330002,-33.023,-71.648,-1.03,-1.20,-0.96,-1.09,-1.25,-1.84,-2.23,-1.95
E000330007,-33.065,-71.556,-1.06,-1.21,-0.94,-1.09,-1.18,-1.69,-2.13,-1.97
E000V00029,-33.083,-71.400,-1.44,-1.50,-1.47,-1.50,-1.65,-1.45,-1.79,-1.67
E000V00051,-33.121,-70.834,-1.36,-1.64,-1.54,-1.61,-1.44,-1.48,-1.78,-1.70
E000V00050,-33.147,-70.660,-1.29,-1.46,-1.42,-1.51,-1.32,-1.31,-1.54,-1.41
E000V00177,-33.230,-71.460,-1.15,-1.49,-1.44,-1.50,-1.56,-1.16,-1.53,-1.50
E000V00178,-33.287,-71.155,-1.18,-1.47,-1.45,-1.51,-1.56,-1.34,-1.69,-1.64
E000V00046,-33.353,-70.502,-1.11,-1.26,-1.27,-1.38,-1.19,-1.19,-1.32,-1.30
E000330021,-33.378,-70.787,-1.03,-1.00,-0.55,-0.77,-1.01,-1.40,-1.70,-1.72
E000V00043,-33.420,-70.733,-1.33,-1.60,-1.62,-1.71,-1.44,-1.30,-1.50,-1.53
E000V00055,-33.439,-71.026,-1.08,-1.37,-1.40,-1.48,-1.52,-1.47,-1.71,-1.63
E000V00038,-33.439,-71.624,-1.13,-1.45,-1.40,-1.48,-1.43,-1.13,-1.45,-1.44
E000330020,-33.445,-70.683,-0.91,-0.87,-0.42,-0.66,-0.98,-1.48,-1.81,-1.74
E000330019,-33.455,-70.549,-0.61,-0.48,-0.09,-0.34,-0.81,-1.55,-1.94,-2.05
E000V00044,-33.467,-70.700,-1.28,-1.56,-1.57,-1.63,-1.40,-1.23,-1.42,-1.46
E000V00047,-33.517,-70.766,-1.39,-1.64,-1.65,-1.69,-1.48,-1.38,-1.52,-1.56
E000V00039,-33.543,-71.596,-1.05,-1.44,-1.41,-1.49,-1.45,-1.27,-1.52,-1.53
E000V00045,-33.545,-70.548,-1.25,-1.39,-0.44,-0.65,-0.84,-1.23,-1.29,-1.21
E000V00058,-33.608,-70.902,-1.19,-1.57,-1.59,-1.67,-1.55,-1.41,-1.58,-1.58
E000V00048,-33.617,-70.567,-1.43,-1.45,-1.46,-1.57,-1.55,-1.58,-1.52,-1.49
