Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.14,-0.79,-0.25,-0.61,-1.03,-0.18,-0.12,-0.18
E000V00002,-18.197,-69.554,-0.19,0.13,0.68,-0.23,-0.03,0.56,0.49,0.63
E000180005,-18.356,-70.340,1.68,0.67,0.79,0.82,0.64,-0.05,0.20,0.93
E000V00001,-19.011,-69.857,-0.28,-0.40,-0.28,-0.54,0.13,0.21,0.25,0.41
E000V00006,-19.276,-68.638,-0.27,-0.69,-0.52,-0.85,-0.96,0.21,0.05,0.04
E000V00005,-19.313,-69.427,-0.07,-0.16,-0.09,-0.45,0.07,0.55,0.34,0.54
E000V00007,-19.996,-69.767,-1.44,-1.85,-1.51,-1.48,-1.07,-1.12,-0.95,-1.00
E000V00004,-20.250,-70.117,-0.60,-1.24,-1.06,-1.06,-1.06,-0.74,-0.56,-0.53
E000V00008,-20.501,-69.342,-1.17,-1.34,-1.13,-1.27,-0.88,-0.74,-0.78,-0.68
E000200006,-20.549,-70.181,-2.52,0.98,0.45,0.39,0.30,-0.48,0.06,0.45
E000V00011,-21.224,-68.255,-0.76,-0.53,-0.35,-0.90,-0.80,-0.76,-0.72,-0.65
E000V00013,-22.091,-70.200,-0.75,-0.43,-0.24,-0.58,0.16,0.13,-0.01,0.10
E000V00014,-22.350,-69.666,-1.56,-1.50,-1.09,-0.18,0.29,0.59,0.37,0.39
E000220002,-22.498,-68.892,1.99,0.73,0.04,0.12,0.02,-0.06,-0.54,0.21
E000V00009,-22.892,-69.320,-1.44,-1.00,-0.67,-0.57,-0.34,-0.15,-0.32,-0.30
E000V00012,-22.932,-68.213,-1.97,-1.84,-1.12,-0.61,0.33,-0.16,-0.42,-0.09
E000230001,-23.454,-70.445,0.98,-0.04,-0.05,-0.09,-0.11,-0.76,-1.22,-0.99
E000V00166,-23.600,-67.440,-1.67,-1.26,-1.16,-0.10,0.52,0.04,-0.28,-0.11
E000V00165,-23.940,-68.570,-1.10,-0.83,-0.66,-0.68,0.42,0.67,0.53,0.55
E000V00164,-24.510,-69.690,0.08,-0.20,-0.11,-0.10,0.65,0.43,0.25,0.18
E000V00167,-25.000,-69.300,-0.39,-0.47,-0.57,0.02,0.38,0.33,0.24,0.26
E000V00010,-25.411,-70.484,-0.62,-0.30,-0.44,-0.36,-0.29,-0.10,-0.25,-0.18
E000V00168,-25.700,-69.270,-0.05,-0.26,-0.36,0.23,0.60,0.49,0.46,0.46
E000V00169,-26.250,-68.990,0.14,0.43,-0.11,0.62,0.18,0.21,0.00,-0.03
E000V00016,-26.332,-70.611,-0.92,-0.20,0.11,0.11,0.12,0.28,0.02,0.20
E000V00017,-26.391,-70.046,-0.93,-0.05,0.02,-0.02,0.01,0.07,-0.34,-0.11
E000V00170,-27.070,-69.330,0.97,-0.09,-0.36,-0.11,0.21,0.27,0.12,0.27
E000270008,-27.254,-70.781,0.89,0.22,-0.44,-0.42,-0.36,0.37,-0.11,-0.61
E000270009,-27.359,-70.353,1.32,0.15,-0.80,-0.81,-0.80,-0.73,-0.50,-1.03
E000V00171,-27.980,-69.810,-1.27,-0.01,0.23,0.24,0.19,0.21,0.04,0.27
E000V00019,-28.463,-71.225,-0.49,-1.29,-1.54,-1.49,-1.44,-0.72,-1.01,-0.54
E000V00018,-28.768,-70.449,-0.43,-1.47,-2.25,-2.12,-2.09,-1.47,-1.42,-0.95
E000V00015,-28.976,-70.000,-0.73,-1.24,-1.91,-0.73,-0.72,-0.66,-0.60,-0.31
E000V00021,-29.372,-71.116,-0.91,-1.30,-1.89,-1.78,-1.73,-1.71,-1.88,-1.29
E000290004,-29.914,-71.207,-0.32,-0.89,-1.60,-1.61,-1.50,-0.70,-1.63,-1.91
E000V00022,-30.031,-70.721,-1.05,-1.24,-2.19,-2.07,-1.93,-1.89,-1.84,-1.19
E000V00020,-30.234,-71.082,-1.01,-1.15,-1.90,-1.78,-1.68,-1.38,-1.56,-1.06
E000V00172,-30.380,-71.720,-0.68,-0.55,-1.61,-1.46,-1.40,-1.54,-2.00,-1.92
E000V00027,-30.746,-70.937,-1.09,-0.99,-1.92,-1.87,-1.81,-1.14,-1.41,-1.09
E000V00028,-30.838,-71.256,-0.68,-0.65,-1.67,-1.62,-1.57,-1.48,-1.87,-1.75
E000V00026,-31.188,-70.999,-1.04,-0.34,-1.73,-1.70,-1.67,-1.12,-1.47,-1.39
E000V00024,-31.390,-71.413,-0.13,0.49,-0.75,-0.76,-0.73,-1.28,-1.99,-1.99
E000V00023,-31.633,-71.152,0.15,0.76,-0.62,-0.63,-0.60,-0.94,-1.37,-1.38
E000V00025,-31.783,-70.970,0.48,0.73,-0.72,-0.73,-0.68,-0.49,-0.90,-0.84
E000320019,-32.076,-70.707,-0.04,0.47,-0.69,-0.82,-0.70,-1.34,-1.57,-1.68
E000V00035,-32.251,-70.926,-0.78,0.31,-1.01,-1.05,-1.02,-0.95,-1.50,-1.48
E000V00174,-32.343,-70.464,-0.66,0.16,-1.12,-1.10,-1.06,-1.01,-1.15,-1.14
E000V00033,-32.362,-70.819,-0.53,0.66,-0.62,-0.66,-0.65,-0.84,-1.38,-1.30
E000V00034,-32.505,-71.441,-0.43,0.99,-0.32,-0.38,-0.39,-0.91,-1.60,-1.71
E000V00175,-32.540,-71.014,-0.55,0.82,-0.43,-0.49,-0.48,-0.86,-1.53,-1.67
E000V00041,-32.594,-70.725,-1.02,0.58,-0.78,-0.85,-0.84,-1.16,-1.67,-1.57
E000V00176,-32.618,-70.368,-1.00,0.53,-0.68,-0.71,-0.70,-1.00,-1.27,-1.26
E000V00040,-32.757,-70.809,-0.73,0.73,-0.58,-0.65,-0.66,-0.98,-1.66,-1.71
E000V00031,-32.789,-71.526,-0.07,1.03,-0.21,-0.30,-0.29,-0.88,-1.60,-1.60
E000V00037,-32.790,-71.173,-0.36,0.98,-0.35,-0.43,-0.42,-1.02,-1.70,-1.72
E000320028,-32.828,-71.227,-0.09,0.94,-0.01,-0.11,-0.17,-0.82,-1.33,-1.42
E000V00032,-32.890,-70.382,-1.15,0.88,-0.66,-0.75,-0.75,-1.17,-1.46,-1.37
E000V00036,-32.893,-71.207,-0.26,1.17,-0.21,-0.30,-0.29,-0.86,-1.61,-1.53
E000V00030,-32.917,-71.517,-0.39,0.95,-0.34,-0.44,-0.42,-0.96,-1.67,-1.61
E000V00042,-32.994,-71.261,-0.46,1.06,-0.27,-0.37,-0.36,-0.96,-1.68,-1.67
E000330002,-33.023,-71.648,0.77,0.76,-0.15,-0.03,-0.05,-0.56,-1.42,-1.54
E000330007,-33.065,-71.556,1.06,0.84,0.05,0.17,0.16,-0.48,-1.13,-1.19
E000V00029,-33.083,-71.400,-0.37,1.09,-0.29,-0.37,-0.36,-1.01,-1.70,-1.72
E000V00051,-33.121,-70.834,-0.92,1.22,-0.22,-0.34,-0.34,-0.90,-1.57,-1.53
E000V00050,-33.147,-70.660,-0.86,1.15,-0.41,-0.53,-0.53,-0.97,-1.63,-1.45
E000V00177,-33.230,-71.460,-0.52,0.85,-0.41,-0.47,-0.46,-1.00,-1.75,-1.56
E000V00178,-33.287,-71.155,-0.91,1.27,-0.22,-0.30,-0.29,-0.96,-1.73,-1.67
E000V00046,-33.353,-70.502,-1.03,1.53,-0.13,-0.22,-0.23,-0.72,-1.33,-1.23
E000330021,-33.378,-70.787,-0.33,1.18,-0.02,-0.14,-0.19,-0.83,-1.33,-1.36
E000V00043,-33.420,-70.733,-0.97,1.49,-0.21,-0.29,-0.30,-0.98,-1.71,-1.52
E000V00055,-33.439,-71.026,-0.98,1.29,-0.08,-0.15,-0.16,-0.88,-1.49,-1.59
E000V00038,-33.439,-71.624,-0.24,0.78,-0.39,-0.47,-0.47,-0.79,-1.54,-1.40
E000330020,-33.445,-70.683,-0.11,1.25,0.19,0.10,0.06,-0.73,-1.28,-1.39
E000330019,-33.455,-70.549,-0.05,0.97,0.23,0.18,0.15,-0.75,-1.30,-1.53
E000V00044,-33.467,-70.700,-1.00,1.52,-0.24,-0.32,-0.30,-0.95,-1.63,-1.43
E000V00047,-33.517,-70.766,-0.85,1.46,-0.26,-0.34,-0.32,-0.97,-1.61,-1.54
E000V00039,-33.543,-71.596,-0.45,0.90,-0.35,-0.45,-0.45,-0.82,-1.53,-1.50
E000V00045,-33.545,-70.548,-0.70,1.77,0.08,-0.08,-0.18,-0.77,-1.09,-1.13
E000V00058,-33.608,-70.902,-0.88,1.24,-0.20,-0.28,-0.27,-0.94,-1.59,-1.56
E000V00048,-33.617,-70.567,-0.78,1.97,0.19,0.11,0.12,-0.74,-1.30,-1.39
E000330031,-33.636,-78.833,0.31,0.97,-0.05,-0.15,-0.30,-0.67,-0.69,-0.71
E000330030,-33.656,-71.613,0.42,0.84,-0.06,-0.05,-0.08,-0.82,-1.52,-1.61
E000V00049,-33.676,-70.089,-0.74,1.52,-0.11,-0.27,-0.32,-0.85,-1.09,-1.13
E000V00057,-33.692,-71.101,-1.03,1.21,-0.08,-0.16,-0.17,-0.87,-1.56,-1.46
E000V00052,-33.707,-70.707,-0.87,1.62,0.04,-0.05,-0.05,-0.85,-1.46,-1.52
E000V00053,-33.862,-70.639,-0.63,1.73,0.20,0.10,0.09,-0.73,-1.39,-1.45
E000V00179,-33.878,-70.220,-0.56,1.74,0.34,0.23,0.11,-0.82,-1.20,-1.20
E000V00056,-33.941,-71.394,-0.52,1.22,-0.13,-0.19,-0.18,-0.78,-1.42,-1.52
E000V00068,-33.959,-71.825,0.03,1.36,0.09,0.02,0.01,-0.66,-1.35,-1.37
E000V00064,-33.983,-70.717,-0.87,1.50,-0.00,-0.09,-0.09,-0.79,-1.51,-1.45
E000V00054,-34.029,-70.995,-0.73,1.28,-0.08,-0.16,-0.17,-0.89,-1.55,-1.58
E000V00059,-34.169,-70.772,-0.41,1.30,-0.05,-0.12,-0.13,-0.88,-1.49,-1.55
E000V00180,-34.203,-70.402,-0.40,1.87,0.31,0.23,0.17,-0.70,-1.27,-1.21
E000V00061,-34.215,-70.997,-0.21,1.36,0.07,0.00,-0.02,-0.80,-1.44,-1.49
E000V00062,-34.217,-71.300,-0.31,1.11,-0.13,-0.19,-0.20,-0.93,-1.51,-1.62
E000V00060,-34.261,-70.948,-0.24,1.28,-0.04,-0.11,-0.14,-0.91,-1.54,-1.64
E000V00066,-34.279,-70.812,-0.46,1.36,0.05,-0.02,-0.05,-0.84,-1.44,-1.61
E000V00065,-34.322,-70.834,-0.21,1.27,-0.01,-0.07,-0.10,-0.84,-1.42,-1.55
E000V00067,-34.394,-72.019,-0.88,0.89,-0.40,-0.45,-0.43,-1.05,-1.57,-1.62
E000V00063,-34.411,-70.210,0.01,2.09,0.86,0.77,0.56,-0.46,-0.77,-0.88
E000V00071,-34.485,-71.463,-0.38,1.17,-0.08,-0.11,-0.13,-0.86,-1.48,-1.53
E000V00069,-34.645,-71.898,-0.16,1.03,-0.23,-0.28,-0.30,-1.06,-1.56,-1.65
