Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.68,-0.93,1.29,0.76,0.87,0.55,0.29,0.58
E000V00002,-18.197,-69.554,1.32,0.40,0.16,0.68,0.68,1.01,1.41,1.90
E000180005,-18.356,-70.340,1.07,0.43,0.18,0.06,-0.05,0.22,1.12,1.52
E000V00001,-19.011,-69.857,1.32,0.40,0.16,0.30,0.53,1.20,1.65,2.24
E000V00006,-19.276,-68.638,-0.08,0.04,0.80,1.20,1.23,0.64,0.43,0.86
E000V00005,-19.313,-69.427,0.53,0.21,1.90,0.98,0.95,0.49,0.70,1.22
E000V00007,-19.996,-69.767,1.53,0.89,0.58,0.37,0.29,0.52,1.61,1.56
E000V00004,-20.250,-70.117,1.53,0.89,0.58,0.37,0.29,-0.12,0.67,1.72
E000V00008,-20.501,-69.342,1.53,0.89,0.58,0.37,0.29,0.08,1.33,1.25
E000200006,-20.549,-70.181,1.18,0.64,0.43,0.34,0.22,0.39,0.65,1.06
E000V00011,-21.224,-68.255,0.22,0.23,-0.29,-0.80,-0.70,-0.69,-0.60,-0.15
E000V00013,-22.091,-70.200,0.89,0.16,-0.06,-0.28,-0.10,-0.19,-0.01,0.18
E000V00014,-22.350,-69.666,1.01,0.00,1.60,1.75,1.74,0.89,0.93,1.58
E000220002,-22.498,-68.892,1.18,0.06,-0.13,0.25,0.21,-0.47,0.42,0.98
E000V00009,-22.892,-69.320,1.01,0.00,-0.36,-0.34,-0.35,-1.20,0.37,0.98
E000V00012,-22.932,-68.213,1.01,0.00,1.01,0.77,0.76,0.05,0.69,1.41
E000230001,-23.454,-70.445,0.71,-0.37,-0.57,-0.62,-0.56,-0.28,-0.81,-0.89
E000V00166,-23.600,-67.440,-0.12,-0.95,-0.40,-0.50,-0.38,-0.73,-0.32,0.05
E000V00165,-23.940,-68.570,-0.24,-0.31,-0.18,0.97,0.80,0.51,0.54,0.74
E000V00164,-24.510,-69.690,-0.21,-0.21,-0.26,0.09,0.06,-0.01,-0.04,0.03
E000V00167,-25.000,-69.300,-0.35,-0.19,-0.00,0.35,0.18,0.12,0.17,0.38
E000V00010,-25.411,-70.484,-0.09,0.11,0.08,0.11,0.02,-0.24,-0.14,-0.01
E000V00168,-25.700,-69.270,-0.30,-0.25,-0.39,0.44,0.37,0.37,0.41,0.53
E000V00169,-26.250,-68.990,0.33,-0.02,-0.41,0.25,0.23,-0.12,-0.12,0.06
E000V00016,-26.332,-70.611,0.99,1.78,1.48,1.46,1.70,0.95,0.74,0.14
E000V00017,-26.391,-70.046,1.20,1.69,1.49,1.48,1.32,1.35,1.40,0.83
E000V00170,-27.070,-69.330,0.94,0.97,0.64,0.62,0.64,0.79,1.02,0.47
E000270008,-27.254,-70.781,0.22,1.11,0.94,0.93,0.94,0.32,-0.18,-0.74
E000270009,-27.359,-70.353,0.47,0.30,0.09,0.08,0.08,0.01,-0.46,-1.04
E000V00171,-27.980,-69.810,0.84,1.24,0.92,0.89,0.88,1.04,1.23,0.77
E000V00019,-28.463,-71.225,-1.39,-0.06,-0.14,-0.10,-0.20,-0.85,-0.30,-0.26
E000V00018,-28.768,-70.449,-1.64,-0.62,-0.93,-0.91,-0.94,-1.13,-0.62,-0.50
E000V00015,-28.976,-70.000,-1.49,-1.13,-0.89,-0.55,-0.61,-0.53,-0.12,0.12
E000V00021,-29.372,-71.116,-1.27,-0.62,-0.94,-0.89,-0.99,-1.59,-0.92,-0.86
E000V00022,-30.031,-70.721,-1.54,-0.70,-0.84,-0.83,-1.04,-1.49,-0.71,-0.85
E000V00020,-30.234,-71.082,-1.38,-0.04,-0.36,-0.32,-0.44,-1.20,-0.66,-0.70
E000V00172,-30.380,-71.720,-1.27,-0.73,-1.20,-1.13,-1.12,-1.81,-1.90,-1.66
E000V00027,-30.746,-70.937,-1.36,0.13,-0.13,-0.11,-0.18,-1.04,-0.73,-0.80
E000V00028,-30.838,-71.256,-1.24,-0.19,-0.66,-0.63,-0.71,-1.64,-1.58,-1.40
E000V00026,-31.188,-70.999,-1.25,-0.21,-0.50,-0.47,-0.57,-1.36,-1.26,-1.22
E000V00024,-31.390,-71.413,-1.15,-1.02,-1.30,-1.26,-1.30,-2.07,-2.25,-2.07
E000V00023,-31.633,-71.152,-1.03,-0.49,-0.76,-0.73,-0.78,-1.68,-1.53,-1.49
E000V00025,-31.783,-70.970,-1.08,0.16,-0.12,-0.08,-0.12,-0.99,-0.82,-0.89
E000V00035,-32.251,-70.926,-1.02,0.07,-0.34,-0.28,-0.34,-1.46,-1.49,-1.53
E000V00174,-32.343,-70.464,-1.08,-0.26,-0.84,-0.78,-0.71,-1.29,-1.15,-1.12
E000V00033,-32.362,-70.819,-1.02,-0.28,-0.53,-0.47,-0.53,-1.53,-1.39,-1.50
E000V00034,-32.505,-71.441,-1.35,-0.55,-0.94,-0.89,-0.95,-1.86,-1.91,-2.21
E000V00175,-32.540,-71.014,-1.07,-0.50,-0.83,-0.77,-0.81,-1.75,-1.82,-2.15
E000V00041,-32.594,-70.725,-1.16,-0.52,-0.93,-0.87,-0.92,-1.78,-1.65,-1.74
E000V00176,-32.618,-70.368,-1.15,-0.66,-1.04,-0.95,-1.02,-1.58,-1.38,-1.44
E000V00040,-32.757,-70.809,-1.13,-0.46,-0.77,-0.71,-0.81,-1.82,-1.75,-1.99
E000V00031,-32.789,-71.526,-1.27,-0.70,-0.98,-0.94,-0.97,-1.91,-1.80,-2.15
E000V00037,-32.790,-71.173,-1.08,-0.64,-1.12,-1.06,-1.13,-1.94,-1.87,-2.22
E000V00032,-32.890,-70.382,-1.20,-0.70,-1.10,-1.02,-1.08,-1.84,-1.50,-1.50
E000V00036,-32.893,-71.207,-1.11,-0.59,-0.98,-0.93,-1.01,-1.93,-1.74,-2.10
E000V00030,-32.917,-71.517,-1.07,-0.73,-1.00,-0.96,-0.98,-1.98,-1.80,-2.11
E000V00042,-32.994,-71.261,-1.17,-0.71,-1.12,-1.06,-1.13,-2.06,-1.92,-2.26
