Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.04,0.10,0.48,-0.12,-0.30,-0.61,-0.90,-1.76
E000V00002,-18.197,-69.554,0.00,0.84,1.53,1.39,1.50,1.61,1.64,1.15
E000180005,-18.356,-70.340,-0.20,-0.19,0.38,0.35,0.59,2.04,1.55,1.56
E000V00001,-19.011,-69.857,1.12,1.85,1.81,1.77,1.86,1.80,1.75,1.50
E000V00006,-19.276,-68.638,0.48,0.98,1.49,1.36,1.51,1.79,1.98,1.55
E000V00005,-19.313,-69.427,0.73,1.53,1.75,1.71,1.87,1.89,1.80,1.55
E000V00007,-19.996,-69.767,1.07,1.58,1.24,1.10,1.41,1.65,1.70,1.55
E000V00004,-20.250,-70.117,1.24,1.50,1.39,1.36,1.44,1.52,1.61,1.51
E000V00008,-20.501,-69.342,1.17,1.65,1.65,1.57,1.62,1.59,1.64,1.44
E000200006,-20.549,-70.181,-1.54,-1.35,-1.16,-0.91,-0.50,0.97,0.84,1.10
E000V00011,-21.224,-68.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00013,-22.091,-70.200,1.21,1.40,1.75,1.31,1.09,0.97,0.60,0.03
E000V00014,-22.350,-69.666,0.63,0.92,0.79,0.24,0.22,-0.00,-0.33,-0.67
E000220002,-22.498,-68.892,-1.17,-0.70,-0.13,0.48,0.66,0.72,-0.01,0.22
E000V00009,-22.892,-69.320,-0.54,-0.78,-1.05,-1.20,-1.12,-1.13,-1.44,-1.68
E000V00012,-22.932,-68.213,-0.76,-1.76,-1.54,-1.54,-1.54,-0.88,-1.64,-1.86
E000230001,-23.454,-70.445,-0.60,-0.21,-0.13,-0.13,0.19,2.01,1.30,1.22
E000V00166,-23.600,-67.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00165,-23.940,-68.570,-1.20,-1.15,-0.76,-1.17,-1.19,-1.30,-1.52,-1.69
E000V00164,-24.510,-69.690,-1.31,-1.48,-1.47,-1.45,-1.41,-1.38,-1.58,-1.68
E000V00167,-25.000,-69.300,-1.20,-0.94,-1.25,-1.39,-1.39,-1.26,-1.56,-1.70
E000V00010,-25.411,-70.484,-1.20,-1.33,-1.33,-1.33,-1.20,-1.30,-1.58,-1.67
E000V00168,-25.700,-69.270,-1.30,-1.29,-1.26,-1.34,-1.34,-1.13,-1.48,-1.51
E000V00169,-26.250,-68.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00170,-27.070,-69.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000270008,-27.254,-70.781,-1.38,-0.37,-0.13,-0.19,0.04,0.74,-0.05,0.02
E000270009,-27.359,-70.353,-1.35,-1.09,-0.57,0.24,0.58,1.47,0.44,0.53
E000V00171,-27.980,-69.810,-0.40,0.37,0.12,-0.49,-0.55,-0.16,-1.63,-1.72
E000V00015,-28.976,-70.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00021,-29.372,-71.116,-0.74,-0.61,-0.83,-1.16,-0.81,-0.77,-1.47,-1.50
E000290004,-29.914,-71.207,0.20,0.55,-0.20,1.47,0.80,0.57,0.17,-0.10
E000V00022,-30.031,-70.721,-0.75,-0.38,-0.54,-0.95,-0.74,-0.90,-1.43,-1.39
E000V00172,-30.380,-71.720,-0.81,-0.54,-0.66,-0.95,-1.10,-1.00,-1.52,-1.54
E000V00027,-30.746,-70.937,-0.51,-0.38,-0.44,-0.80,-0.45,-0.24,-0.40,-0.65
E000V00028,-30.838,-71.256,-0.55,-0.36,-0.41,-0.85,-0.95,-0.43,-0.66,-0.93
E000V00026,-31.188,-70.999,-1.24,-0.89,-0.64,-0.97,-0.86,-0.56,-0.96,-1.12
E000V00024,-31.390,-71.413,-1.23,-0.91,-0.61,-0.99,-1.01,-0.30,-0.71,-0.98
E000V00023,-31.633,-71.152,-1.21,-0.83,-0.56,-0.84,-0.82,-0.29,-0.82,-0.90
E000V00025,-31.783,-70.970,-1.15,-0.67,-0.54,-0.84,-0.62,-0.23,-0.84,-0.84
E000320019,-32.076,-70.707,-1.53,-1.15,-1.40,0.24,0.24,-0.25,-0.05,0.00
E000V00035,-32.251,-70.926,-1.22,-0.88,-0.58,-0.85,-0.64,-0.40,-0.80,-0.86
E000V00174,-32.343,-70.464,-1.25,-0.92,-0.71,-0.44,-0.53,-0.25,-0.68,-0.73
E000V00033,-32.362,-70.819,-1.21,-0.90,-0.63,-0.92,-0.81,-0.67,-1.00,-0.90
E000V00034,-32.505,-71.441,-0.31,0.02,0.02,-0.54,-0.84,-0.63,-1.02,-0.77
E000V00175,-32.540,-71.014,-0.56,0.09,0.08,-0.53,-0.87,-0.77,-0.96,-0.73
E000V00041,-32.594,-70.725,-1.22,-0.89,-0.57,-0.90,-0.76,-0.64,-0.88,-0.93
E000V00176,-32.618,-70.368,-1.23,-1.01,-0.78,-1.02,-1.10,-0.83,-1.06,-0.84
E000V00040,-32.757,-70.809,-0.26,0.15,0.12,-0.39,-0.71,-0.65,-0.84,-0.63
