Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.69,-1.06,-1.02,-0.81,-0.01,0.65,0.90,0.19
E000V00002,-18.197,-69.554,-0.67,-0.19,0.02,0.08,0.80,1.27,1.48,1.31
E000180005,-18.356,-70.340,-0.51,-0.08,-0.16,-0.50,-0.72,-0.25,0.36,0.09
E000V00001,-19.011,-69.857,-0.12,0.66,0.73,0.76,1.20,1.26,1.36,1.29
E000V00006,-19.276,-68.638,-0.73,-0.68,-0.45,-0.34,0.25,1.21,1.28,0.98
E000V00005,-19.313,-69.427,-0.64,0.26,0.40,0.45,1.00,1.14,1.20,1.13
E000V00007,-19.996,-69.767,0.25,0.74,0.76,0.76,1.12,1.42,1.52,1.35
E000V00004,-20.250,-70.117,0.85,1.05,1.20,1.23,1.41,1.58,1.61,1.54
E000V00008,-20.501,-69.342,-0.16,0.63,1.10,1.21,1.46,1.60,1.62,1.48
E000200006,-20.549,-70.181,-0.12,0.59,0.44,0.06,-0.32,0.13,1.07,1.15
E000V00011,-21.224,-68.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00013,-22.091,-70.200,-1.02,1.20,1.85,1.66,1.73,1.81,1.70,1.39
E000V00014,-22.350,-69.666,0.00,1.76,1.99,1.83,1.99,1.88,1.64,1.58
E000220002,-22.498,-68.892,-0.40,-0.75,-0.77,-0.79,-0.90,-0.69,-0.15,-0.36
E000V00009,-22.892,-69.320,-0.50,0.08,0.58,0.27,0.69,0.71,0.26,-0.06
E000V00012,-22.932,-68.213,0.17,0.66,0.62,0.59,0.71,0.81,0.93,0.28
E000230001,-23.454,-70.445,-0.32,0.69,1.06,0.42,0.19,0.85,1.39,1.16
E000V00166,-23.600,-67.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00165,-23.940,-68.570,-1.02,-0.05,-0.09,-0.08,-0.05,-0.12,-0.65,-1.00
E000V00164,-24.510,-69.690,-1.17,-0.76,-0.75,-0.78,-0.69,-0.77,-1.05,-1.22
E000V00167,-25.000,-69.300,-1.20,-0.72,-0.67,-0.65,-0.47,-0.60,-0.97,-1.13
E000V00010,-25.411,-70.484,-1.43,-1.12,-1.02,-0.94,-0.75,-0.87,-1.15,-1.28
E000V00168,-25.700,-69.270,-1.04,-0.73,-1.10,-1.12,-0.67,-0.62,-1.03,-1.23
E000V00169,-26.250,-68.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00016,-26.332,-70.611,-1.37,-1.06,-0.64,-0.57,-0.23,-0.50,-0.91,-1.04
E000V00017,-26.391,-70.046,-1.36,-1.01,-0.57,-0.38,-0.12,-0.37,-0.88,-0.96
E000V00170,-27.070,-69.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000270008,-27.254,-70.781,-0.34,-0.39,0.08,-0.48,-0.69,0.09,1.09,0.92
E000270009,-27.359,-70.353,-0.95,-1.09,-0.58,-0.72,-0.96,-0.15,0.43,0.61
E000V00171,-27.980,-69.810,-0.89,-0.91,0.20,0.33,0.53,-0.21,-0.65,-0.33
E000V00019,-28.463,-71.225,-0.89,-0.63,-0.36,-0.63,-0.19,-0.66,-0.85,-0.94
E000V00018,-28.768,-70.449,-0.79,-0.87,-0.51,-0.87,-0.50,-0.94,-1.16,-1.17
E000V00015,-28.976,-70.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00021,-29.372,-71.116,-0.84,-0.63,-0.45,-0.84,-0.65,-1.07,-1.00,-1.14
E000290004,-29.914,-71.207,-1.03,-1.17,-0.41,-0.97,-1.27,0.31,0.55,0.46
E000V00022,-30.031,-70.721,-1.02,-1.11,-1.08,-1.19,-1.05,-1.30,-1.27,-1.38
E000V00020,-30.234,-71.082,-0.98,-0.99,-1.00,-0.93,-0.92,-1.32,-1.25,-1.39
E000V00172,-30.380,-71.720,-1.05,-0.83,-0.69,-0.99,-0.91,-1.13,-1.26,-1.33
E000V00027,-30.746,-70.937,-1.05,-1.17,-1.16,-0.53,-0.69,-1.52,-1.43,-1.59
E000V00028,-30.838,-71.256,-1.03,-1.01,-1.10,-0.96,-1.07,-1.57,-1.64,-1.68
E000V00026,-31.188,-70.999,-1.10,-1.15,-1.24,-0.90,-0.99,-1.56,-1.61,-1.66
E000V00024,-31.390,-71.413,-1.10,-1.07,-1.21,-1.48,-1.48,-1.77,-1.78,-1.83
E000V00023,-31.633,-71.152,-1.08,-1.05,-1.29,-1.17,-1.23,-1.67,-1.71,-1.81
E000V00025,-31.783,-70.970,-1.07,-1.12,-1.37,-0.69,-0.80,-1.54,-1.57,-1.69
E000320019,-32.076,-70.707,-1.84,-0.64,0.25,-0.89,-0.81,-1.24,-0.91,-0.82
E000V00035,-32.251,-70.926,-1.11,-1.14,-1.45,-0.70,-0.87,-1.51,-1.58,-1.70
E000V00174,-32.343,-70.464,-1.01,-1.26,-1.48,-0.86,-1.23,-1.61,-1.62,-1.74
E000V00033,-32.362,-70.819,-1.10,-1.12,-1.53,-0.89,-0.99,-1.58,-1.53,-1.67
