Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,0.91,1.70,1.39,1.40,1.43,1.55,0.96,0.66
E000V00002,-18.197,-69.554,1.80,1.82,1.43,1.57,1.66,1.68,1.55,1.66
E000180005,-18.356,-70.340,-0.57,-1.03,-0.75,-0.45,-0.38,0.80,0.27,0.44
E000V00001,-19.011,-69.857,1.16,1.81,1.33,1.39,1.40,1.52,1.34,1.53
E000V00006,-19.276,-68.638,0.97,1.21,1.47,1.57,1.65,1.56,1.26,1.54
E000V00005,-19.313,-69.427,1.01,1.65,1.35,1.45,1.47,1.34,1.22,1.47
E000V00007,-19.996,-69.767,0.68,1.38,1.49,1.54,1.58,1.69,1.35,1.44
E000V00004,-20.250,-70.117,1.35,1.60,1.68,1.72,1.74,1.71,1.51,1.55
E000V00008,-20.501,-69.342,1.60,1.69,1.62,1.70,1.76,1.70,1.40,1.54
E000200006,-20.549,-70.181,-0.58,-0.94,-0.75,-0.39,-0.33,1.15,1.58,1.00
E000V00011,-21.224,-68.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00013,-22.091,-70.200,1.57,1.47,1.61,1.76,1.79,1.39,0.85,1.22
E000V00014,-22.350,-69.666,1.53,1.84,2.08,1.55,1.66,1.34,1.08,1.07
E000220002,-22.498,-68.892,-1.36,-0.86,-0.87,-0.65,-0.39,0.41,-0.02,0.14
E000V00009,-22.892,-69.320,1.27,1.66,1.25,0.91,0.78,0.42,-0.26,-0.53
E000V00012,-22.932,-68.213,-0.62,0.48,0.46,0.45,0.44,0.64,-0.08,-0.48
E000230001,-23.454,-70.445,0.04,-0.29,0.03,0.36,0.64,1.51,1.30,1.06
E000V00166,-23.600,-67.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00165,-23.940,-68.570,0.66,0.19,0.56,-0.05,-0.05,-0.39,-1.04,-1.10
E000V00164,-24.510,-69.690,-0.28,-0.05,-0.23,-0.47,-0.51,-0.86,-1.23,-1.31
E000V00167,-25.000,-69.300,0.18,0.36,0.09,-0.39,-0.39,-0.66,-1.13,-1.21
E000V00010,-25.411,-70.484,-0.12,0.20,0.09,-0.25,-0.41,-0.95,-1.27,-1.29
E000V00168,-25.700,-69.270,-1.42,0.72,0.82,0.50,0.51,-0.49,-1.08,-1.16
E000V00169,-26.250,-68.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00016,-26.332,-70.611,0.17,0.78,1.06,0.65,0.15,-0.60,-1.09,-1.08
E000V00017,-26.391,-70.046,0.02,0.62,0.95,0.92,0.29,-0.58,-1.03,-1.00
E000V00170,-27.070,-69.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000270008,-27.254,-70.781,-0.66,-0.87,-1.04,-0.67,0.27,0.87,1.49,1.17
E000270009,-27.359,-70.353,-0.40,-0.94,-1.26,-0.91,0.36,0.73,1.49,1.32
E000V00171,-27.980,-69.810,0.10,0.56,0.53,0.28,0.13,-0.29,-0.92,-0.60
E000V00019,-28.463,-71.225,0.14,0.72,0.96,0.88,0.05,-0.39,-1.03,-1.00
E000V00018,-28.768,-70.449,0.15,0.56,0.55,0.35,-0.33,-0.58,-1.18,-1.04
E000V00015,-28.976,-70.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00021,-29.372,-71.116,-0.61,0.27,0.70,0.55,-0.37,-0.28,-1.15,-0.97
E000290004,-29.914,-71.207,-1.02,-1.06,-1.24,-0.39,1.29,1.06,1.10,1.16
E000V00022,-30.031,-70.721,-0.13,-0.14,-0.07,-0.43,-0.89,-0.80,-1.33,-1.20
E000V00020,-30.234,-71.082,-0.75,-0.59,-0.15,-0.34,-0.84,-0.69,-1.43,-1.23
E000V00172,-30.380,-71.720,-0.78,-0.44,0.03,-0.03,-0.55,-0.80,-1.35,-1.23
E000V00027,-30.746,-70.937,-0.87,-0.76,-0.61,-0.75,-1.33,-1.15,-1.70,-1.45
E000V00028,-30.838,-71.256,-0.84,-0.68,-0.55,-0.67,-1.16,-1.27,-1.70,-1.53
E000V00026,-31.188,-70.999,-0.82,-0.64,-0.53,-0.74,-1.40,-1.42,-1.70,-1.56
E000V00024,-31.390,-71.413,-1.04,-0.76,-0.61,-0.75,-1.37,-1.38,-1.74,-1.65
E000V00023,-31.633,-71.152,-0.92,-0.63,-0.48,-0.63,-1.31,-1.37,-1.76,-1.65
E000V00025,-31.783,-70.970,-0.94,-0.68,-0.49,-0.64,-1.48,-1.38,-1.77,-1.62
E000320019,-32.076,-70.707,0.22,-0.07,-0.97,-1.32,-0.58,-0.57,-0.31,-0.52
E000V00035,-32.251,-70.926,-1.21,-0.59,-0.44,-0.60,-1.33,-1.34,-1.75,-1.62
E000V00174,-32.343,-70.464,-1.37,-0.94,-0.81,-0.82,-1.41,-1.27,-1.70,-1.58
E000V00033,-32.362,-70.819,-1.33,-0.61,-0.42,-0.61,-1.45,-1.28,-1.69,-1.61
E000V00034,-32.505,-71.441,-1.40,-0.85,-0.61,-0.77,-1.50,-1.31,-1.69,-1.61
E000V00175,-32.540,-71.014,-1.33,-0.88,-0.58,-0.71,-1.53,-1.38,-1.71,-1.66
E000V00041,-32.594,-70.725,-1.38,-0.84,-0.60,-0.74,-1.43,-1.23,-1.65,-1.57
E000V00176,-32.618,-70.368,-1.29,-0.89,-0.66,-0.80,-1.48,-1.36,-1.68,-1.65
E000V00040,-32.757,-70.809,-1.36,-0.67,-0.44,-0.67,-1.49,-1.29,-1.66,-1.58
E000V00031,-32.789,-71.526,-1.22,-0.76,-0.39,-0.56,-1.44,-1.17,-1.64,-1.60
E000V00037,-32.790,-71.173,-1.43,-0.94,-0.69,-0.86,-1.57,-1.20,-1.67,-1.64
E000320028,-32.828,-71.227,-0.18,-0.51,-0.66,-1.14,-0.81,-0.97,-0.75,-0.72
E000V00032,-32.890,-70.382,-1.23,-0.78,-0.61,-0.79,-1.36,-1.21,-1.59,-1.53
E000V00036,-32.893,-71.207,-1.38,-0.85,-0.61,-0.81,-1.62,-1.16,-1.64,-1.63
E000V00030,-32.917,-71.517,-1.31,-0.73,-0.38,-0.52,-1.44,-1.14,-1.62,-1.59
E000V00042,-32.994,-71.261,-1.46,-0.94,-0.69,-0.87,-1.63,-1.29,-1.70,-1.66
E000330002,-33.023,-71.648,-0.06,-0.46,-0.72,-1.18,-0.41,-0.76,-0.72,-0.82
E000330007,-33.065,-71.556,-0.05,-0.49,-0.70,-1.24,-0.59,-0.97,-0.78,-0.86
E000V00029,-33.083,-71.400,-1.30,-0.93,-0.72,-0.87,-1.57,-1.26,-1.70,-1.68
E000V00051,-33.121,-70.834,-1.37,-0.80,-0.44,-0.69,-1.42,-1.17,-1.63,-1.60
E000V00050,-33.147,-70.660,-1.36,-0.76,-0.49,-0.74,-1.50,-1.12,-1.60,-1.55
E000V00177,-33.230,-71.460,-1.33,-0.77,-0.57,-0.76,-1.59,-1.10,-1.63,-1.63
E000V00178,-33.287,-71.155,-1.31,-0.88,-0.66,-0.87,-1.53,-1.20,-1.68,-1.68
E000V00046,-33.353,-70.502,-1.34,-0.65,-0.43,-0.66,-1.47,-1.05,-1.52,-1.45
E000330021,-33.378,-70.787,-0.24,-0.98,-1.24,-1.38,-1.06,-0.99,-0.76,-0.92
E000V00043,-33.420,-70.733,-1.36,-0.79,-0.58,-0.81,-1.56,-1.16,-1.58,-1.53
E000V00055,-33.439,-71.026,-1.35,-0.87,-0.51,-0.73,-1.40,-1.23,-1.66,-1.65
E000V00038,-33.439,-71.624,-1.29,-0.69,-0.43,-0.64,-1.51,-1.05,-1.61,-1.63
