Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000180005,-18.356,-70.340,-0.63,-0.10,0.30,0.66,0.84,0.05,0.27,0.75
E000200006,-20.549,-70.181,-0.48,-0.16,0.23,0.52,0.89,0.34,0.63,1.33
E000220002,-22.498,-68.892,-0.14,-0.25,-0.51,-0.81,-0.75,-1.06,-0.89,-0.50
E000230001,-23.454,-70.445,-1.06,-0.74,-0.23,0.32,0.86,0.73,1.20,1.47
E000270008,-27.254,-70.781,-1.13,-0.97,-0.81,-0.75,-0.28,-0.68,-0.09,0.86
E000270009,-27.359,-70.353,-1.43,-1.45,-1.21,-1.02,-1.01,-1.16,-0.59,-0.08
E000290004,-29.914,-71.207,-1.36,-0.61,-0.91,-0.79,-0.73,-1.43,-0.19,0.07
E000320019,-32.076,-70.707,-0.19,-1.45,-1.13,-0.96,-1.15,-1.31,-1.39,-1.18
E000320028,-32.828,-71.227,0.42,0.10,-0.96,-1.07,-1.13,-1.07,-1.21,-1.25
E000330002,-33.023,-71.648,-0.72,-0.62,-1.07,-0.24,-0.37,-0.50,-0.73,-0.90
E000330007,-33.065,-71.556,-0.76,-0.30,-1.29,-0.41,-0.57,-0.57,-0.86,-0.98
E000330021,-33.378,-70.787,-1.16,-1.18,-1.10,-0.78,-0.98,-1.07,-1.19,-1.11
E000330020,-33.445,-70.683,-1.00,-0.95,-1.06,-0.74,-0.99,-1.15,-1.34,-1.14
E000330019,-33.455,-70.549,-0.50,-0.74,-0.88,-0.58,-0.77,-0.86,-1.15,-0.99
E000330031,-33.636,-78.833,0.76,0.98,-0.71,-1.53,-1.49,-1.67,-1.52,-1.38
E000330030,-33.656,-71.613,-0.56,-0.86,-1.07,-0.57,-0.72,-0.72,-0.69,-0.75
E000340044,-34.721,-71.020,-0.38,-0.53,-0.83,-0.68,-0.82,-0.69,-0.88,-1.02
E000340031,-34.969,-71.217,-0.60,-0.83,-0.94,-0.84,-1.03,-0.71,-0.97,-1.10
E000360011,-36.586,-72.037,0.21,-1.12,-0.84,-0.71,-0.95,-0.73,-0.68,-0.89
E000360019,-36.781,-73.066,-0.93,-1.27,-1.25,-1.24,-1.41,-1.45,-1.42,-1.38
E000370033,-37.397,-72.424,0.76,-0.58,0.10,-0.12,-0.17,0.04,0.07,0.18
E000380013,-38.768,-72.460,1.46,0.28,-0.11,-0.91,-1.04,-1.15,-1.11,-1.23
E000390006,-39.657,-73.087,1.21,0.20,0.16,-0.55,-0.51,-0.49,-0.55,-0.73
E000400009,-40.614,-73.058,0.34,-0.99,-0.50,-0.73,-0.53,-0.63,-0.62,-0.83
E000410005,-41.448,-73.096,0.63,-0.40,-0.26,0.08,0.18,-0.05,0.11,-0.30
E000430002,-43.189,-71.852,1.23,0.13,0.72,0.93,0.42,-0.26,-0.60,-0.92
E000430004,-43.612,-71.801,0.53,-0.03,0.59,0.59,0.26,-0.07,-1.19,-1.21
E000450001,-45.399,-72.677,1.50,0.47,1.11,1.11,0.84,0.14,0.56,0.78
E000450004,-45.591,-72.102,0.93,0.07,1.04,1.21,0.53,0.62,-0.02,0.03
E000450005,-45.918,-71.678,-0.26,-1.28,-0.29,-0.02,-0.48,0.28,-0.40,-0.28
E000460001,-46.585,-71.685,1.04,0.03,0.54,0.70,0.10,0.12,-0.37,-0.12
E000470001,-47.244,-72.583,-0.04,-0.65,0.98,1.35,0.81,-0.07,-0.20,0.04
E000V00207,-51.070,-73.570,0.62,1.30,1.19,1.18,1.34,1.50,1.52,1.49
E000V00158,-51.184,-72.967,-0.12,0.06,0.00,-0.02,0.52,0.80,0.82,0.84
E000V00159,-52.309,-71.164,-0.01,2.28,2.10,2.00,2.00,1.50,1.21,1.10
E000V00161,-52.432,-70.361,0.34,0.82,1.60,1.45,1.50,1.26,1.10,1.41
E000V00160,-52.601,-71.505,0.12,0.55,1.01,0.95,1.01,0.75,0.53,0.43
E000V00162,-52.800,-69.270,0.07,0.06,0.63,0.64,0.90,0.78,0.67,0.73
E000520006,-53.002,-70.839,-0.03,0.33,-0.18,-0.42,-0.37,-0.69,-0.55,-0.87
E000530005,-53.254,-70.326,0.26,0.65,0.20,0.09,0.36,-0.01,-0.82,-0.94
E000V00208,-53.800,-71.380,0.16,0.08,0.41,0.68,0.95,1.22,1.24,1.18
E000V00163,-54.051,-68.804,-0.03,0.13,0.53,0.46,0.71,0.74,0.77,0.79
E000550001,-54.932,-67.616,1.50,1.61,0.81,0.93,0.60,0.31,-0.90,-0.97
